
### MAR — Política `SDDP` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
| 24 | 0.0 | 2153 | 2481 | 2153 | 0.0 | 0.0 | 328.1 | 2153 | 14.35M |
| 25 | 0.0 | 2153 | 2458 | 2153 | 0.0 | 0.0 | 305.2 | 2153 | 13.35M |
| 26 | 0.0 | 2153 | 2479 | 2153 | 0.0 | 0.0 | 325.9 | 2153 | 14.26M |
| 27 | 0.0 | 2153 | 2465 | 2153 | 0.0 | 0.0 | 311.9 | 2153 | 13.65M |
| 28 | 0.0 | 2153 | 2476 | 2153 | 0.0 | 0.0 | 323.3 | 2153 | 14.15M |
| 29 | 0.0 | 2153 | 2481 | 2153 | 0.0 | 0.0 | 328.1 | 2153 | 14.36M |
| 30 | 0.0 | 2153 | 2489 | 2153 | 0.0 | 0.0 | 336.4 | 2153 | 14.72M |

### MAR — Política `P_-5` (média 1000 sims)

| Dia | FilaIni | AdmIn | w_proc | Proc | FilaFim | Spill | Ocioso | AdmOut | Custo |
|----:|--------:|------:|-------:|-----:|--------:|------:|-------:|-------:|------:|
| 1 | 1200 | 3000 | 2476 | 2476 | 1724 | 524.0 | 0.0 | 2272 | 12.57M |
| 2 | 1724 | 2272 | 2492 | 2492 | 1504 | 304.3 | 0.0 | 2272 | 9.44M |
| 3 | 1504 | 2272 | 2493 | 2493 | 1283 | 83.3 | 0.0 | 2272 | 5.24M |
| 4 | 1283 | 2272 | 2485 | 2485 | 1070 | 0.0 | 0.0 | 2272 | 3.28M |
| 5 | 1070 | 2272 | 2478 | 2478 | 864.4 | 0.0 | 0.0 | 2272 | 2.70M |
| 6 | 864.4 | 2272 | 2479 | 2479 | 658.2 | 0.0 | 0.0 | 2272 | 2.12M |
| 7 | 658.2 | 2272 | 2495 | 2495 | 435.1 | 0.0 | 0.0 | 2272 | 1.53M |
| 8 | 435.1 | 2272 | 2468 | 2468 | 239.0 | 0.0 | 0.0 | 2272 | 940391 |
| 9 | 239.0 | 2272 | 2477 | 2477 | 34.4 | 0.0 | 0.0 | 2272 | 381468 |
| 10 | 34.4 | 2272 | 2497 | 2307 | 0.0 | 0.0 | 189.8 | 2272 | 8.35M |
| 11 | 0.0 | 2272 | 2478 | 2272 | 0.0 | 0.0 | 206.0 | 2272 | 9.01M |
| 12 | 0.0 | 2272 | 2490 | 2272 | 0.0 | 0.0 | 218.1 | 2272 | 9.54M |
| 13 | 0.0 | 2272 | 2486 | 2272 | 0.0 | 0.0 | 214.1 | 2272 | 9.37M |
| 14 | 0.0 | 2272 | 2474 | 2272 | 0.0 | 0.0 | 201.7 | 2272 | 8.82M |
| 15 | 0.0 | 2272 | 2481 | 2272 | 0.0 | 0.0 | 208.6 | 2272 | 9.13M |
| 16 | 0.0 | 2272 | 2476 | 2272 | 0.0 | 0.0 | 203.6 | 2272 | 8.91M |
| 17 | 0.0 | 2272 | 2475 | 2272 | 0.0 | 0.0 | 203.1 | 2272 | 8.89M |
| 18 | 0.0 | 2272 | 2464 | 2272 | 0.0 | 0.0 | 192.0 | 2272 | 8.40M |
| 19 | 0.0 | 2272 | 2477 | 2272 | 0.0 | 0.0 | 204.4 | 2272 | 8.94M |
| 20 | 0.0 | 2272 | 2494 | 2272 | 0.0 | 0.0 | 221.3 | 2272 | 9.68M |
| 21 | 0.0 | 2272 | 2486 | 2272 | 0.0 | 0.0 | 214.1 | 2272 | 9.37M |
| 22 | 0.0 | 2272 | 2469 | 2272 | 0.0 | 0.0 | 197.0 | 2272 | 8.62M |
| 23 | 0.0 | 2272 | 2490 | 2272 | 0.0 | 0.0 | 217.5 | 2272 | 9.52M |
| 24 | 0.0 | 2272 | 2481 | 2272 | 0.0 | 0.0 | 208.5 | 2272 | 9.12M |
| 25 | 0.0 | 2272 | 2458 | 2272 | 0.0 | 0.0 | 185.6 | 2272 | 8.12M |
| 26 | 0.0 | 2272 | 2479 | 2272 | 0.0 | 0.0 | 206.3 | 2272 | 9.03M |
