dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum
11,790.2709999993766,2053.728999999614,2107.409,2058.1069999998354,785.8929999991419,103.88299999973067,49.30200000016499,2058.1069999993806,6.039906499000779e6,8.45523354720059e7,0.0,1784.0721103447233,2107.408999999988,1784.0721103447233,0.0,0.0,323.336889655235,1784.0721103447233,1.4146958933085823e7,1.0317057072235218e8,44.29404827526489,1883.1872275861122,2107.408999999988,1927.4812758613875,0.0,0.0,179.92772413859825,1883.1872275861122,7.9341679115800345e6,7.687342325066556e7,936.3301034476588,1982.3023448274942,2107.408999999988,2107.408999999988,811.2234482751531,0.0,0.0,1982.3023448274942,2.4378372046532766e6,1.0508232645440648e8,1828.3661586200021,2081.417462068857,2107.408999999988,2107.408999999988,1802.3746206889004,602.3746206889218,0.0,2081.417462068857,1.4829978363124326e7,1.9450017458954555e8,2720.4022137923594,2180.5325793102493,2107.408999999988,2107.408999999988,2793.5257931026135,1593.5257931026463,0.0,2180.5325793102493,3.3524576201606564e7,2.966982675527147e8
12,785.8929999991419,2058.1069999993806,2082.222,2031.4009999997636,812.598999998768,107.09599999959701,50.82100000023875,2031.4010000002984,6.189600809000996e6,9.07419362810069e7,0.0,1784.0721103447233,2082.2220000000225,1784.0721103447233,0.0,0.0,298.1498896552365,1784.0721103447233,1.3044952122085568e7,1.1621552284443775e8,0.0,1883.1872275861122,2082.2220000000225,1883.1872275861122,0.0,0.0,199.03477241386233,1883.1872275861122,8.708368397423686e6,8.558179164808924e7,811.2234482751531,1982.3023448274942,2082.2220000000225,2082.2220000000225,711.3037931026929,0.0,0.0,1982.3023448274942,2.123925501722097e6,1.0720625195612858e8,1802.3746206889004,2081.417462068857,2082.2220000000225,2082.2220000000225,1801.5700827578412,601.5700827578138,0.0,2081.417462068857,1.4779555472894806e7,2.0927973006244037e8,2793.5257931026135,2180.5325793102493,2082.2220000000225,2082.2220000000225,2891.8363724129076,1691.8363724129697,0.0,2180.5325793102493,3.535743965408029e7,3.32055707206795e8
13,812.598999998768,2031.4010000002984,2142.845,2086.458999999835,757.5409999992423,101.52799999978099,56.38600000016374,2086.4589999995915,6.303272366000851e6,9.704520864700775e7,0.0,1784.0721103447233,2142.8449999999807,1784.0721103447233,0.0,0.0,358.7728896552381,1784.0721103447233,1.5697390241085183e7,1.3191291308552293e8,0.0,1883.1872275861122,2142.8449999999807,1883.1872275861122,0.0,0.0,259.65777241386195,1883.1872275861122,1.1360806516423626e7,9.694259816451287e7,711.3037931026929,1982.3023448274942,2142.8449999999807,2142.8449999999807,550.7611379302072,0.0,0.0,1982.3023448274942,1.7605805787908887e6,1.0896683253491947e8,1801.5700827578412,2081.417462068857,2142.8449999999807,2142.8449999999807,1740.142544826722,540.1425448267142,0.0,2081.417462068857,1.3696939909666069e7,2.2297666997210643e8,2891.8363724129076,2180.5325793102493,2142.8449999999807,2142.8449999999807,2929.5239517232376,1729.5239517232362,0.0,2180.5325793102493,3.6158110433555424e7,3.682138176403504e8
14,757.5409999992423,2086.4589999995915,2093.197,2044.523999999828,799.475999998995,103.06199999968659,48.67300000017278,2044.5239999997877,5.972366566000042e6,1.030175752130078e8,0.0,1784.0721103447233,2093.196999999972,1784.0721103447233,0.0,0.0,309.12488965523653,1784.0721103447233,1.35251412970853e7,1.4543805438260823e8,0.0,1883.1872275861122,2093.196999999972,1883.1872275861122,0.0,0.0,210.00977241385573,1883.1872275861122,9.188557572423754e6,1.0613115573693663e8,550.7611379302072,1982.3023448274942,2093.196999999972,2093.196999999972,439.86648275771716,0.0,0.0,1982.3023448274942,1.3819255308596352e6,1.103487580657791e8,1740.142544826722,2081.417462068857,2093.196999999972,2093.196999999972,1728.3630068956265,528.3630068955939,0.0,2081.417462068857,1.3403857949437484e7,2.363805279215439e8,2929.5239517232376,2180.5325793102493,2093.196999999972,2093.196999999972,3016.85953103345,1816.8595310335006,0.0,2180.5325793102493,3.7748314816029154e7,4.0596213245637953e8
15,799.475999998995,2044.5239999997877,2084.792,2038.0519999998135,805.9479999989669,110.24499999966083,46.740000000189575,2038.0520000000654,6.071763394999946e6,1.0908933860800774e8,0.0,1784.0721103447233,2084.791999999955,1784.0721103447233,0.0,0.0,300.7198896552388,1784.0721103447233,1.3157397332085269e7,1.5859545171469352e8,0.0,1883.1872275861122,2084.791999999955,1883.1872275861122,0.0,0.0,201.60477241385684,1883.1872275861122,8.820813607423726e6,1.1495196934436035e8,439.86648275771716,1982.3023448274942,2084.791999999955,2084.791999999955,337.3768275852244,0.0,0.0,1982.3023448274942,1.0842544179284282e6,1.1143301248370753e8,1728.3630068956265,2081.417462068857,2084.791999999955,2084.791999999955,1724.9884689645176,524.9884689644814,0.0,2081.417462068857,1.332801337920808e7,2.4970854130075198e8,3016.85953103345,2180.5325793102493,2084.791999999955,2084.791999999955,3112.6001103436947,1912.600110343718,0.0,2180.5325793102493,3.955575658850408e7,4.455178890448836e8
16,805.9479999989669,2038.0520000000654,2095.238,2044.429999999855,799.5699999991873,104.0739999997367,50.808000000148326,2044.4300000003402,6.149843647999683e6,1.1523918225600743e8,0.0,1784.0721103447233,2095.237999999953,1784.0721103447233,0.0,0.0,311.16588965523863,1784.0721103447233,1.3614441170085764e7,1.7220989288477927e8,0.0,1883.1872275861122,2095.237999999953,1883.1872275861122,0.0,0.0,212.05077241386437,1883.1872275861122,9.277857445423346e6,1.242298267897837e8,337.3768275852244,1982.3023448274942,2095.237999999953,2095.237999999953,224.44117241274375,0.0,0.0,1982.3023448274942,783736.109997163,1.122167485937047e8,1724.9884689645176,2081.417462068857,2095.237999999953,2095.237999999953,1711.1679310333561,511.16793103337125,0.0,2081.417462068857,1.3079981507979028e7,2.6278852280873102e8,3112.6001103436947,2180.5325793102493,2095.237999999953,2095.237999999953,3197.8946896540024,1997.8946896540037,0.0,2180.5325793102493,4.119101105997784e7,4.8670890010486144e8
17,799.5699999991873,2044.4300000003402,2130.444,2075.1809999999227,768.8189999996139,109.17399999987916,55.26300000007657,2075.180999999915,6.375644407999744e6,1.2161482666400717e8,0.0,1784.0721103447233,2130.4439999999595,1784.0721103447233,0.0,0.0,346.371889655241,1784.0721103447233,1.5154809288085803e7,1.873647021728651e8,0.0,1883.1872275861122,2130.4439999999595,1883.1872275861122,0.0,0.0,247.256772413856,1883.1872275861122,1.0818225563423343e7,1.3504805235320705e8,224.44117241274375,1982.3023448274942,2130.4439999999595,2130.4439999999595,76.29951724026358,0.0,0.0,1982.3023448274942,419533.2620659471,1.1263628185577065e8,1711.1679310333561,2081.417462068857,2130.4439999999595,2130.4439999999595,1662.141393102254,462.14139310228256,0.0,2081.417462068857,1.219754063075049e7,2.749860634394815e8,3197.8946896540024,2180.5325793102493,2130.4439999999595,2130.4439999999595,3247.983268964246,2047.9832689643233,0.0,2180.5325793102493,4.219185652545225e7,5.289007566303137e8
18,768.8189999996139,2075.180999999915,2083.613,2033.079999999928,810.9199999995919,112.55199999986812,50.53300000007348,2033.079999999715,6.239286725999988e6,1.2785411339000715e8,0.0,1784.0721103447233,2083.6129999999534,1784.0721103447233,0.0,0.0,299.5408896552386,1784.0721103447233,1.3105812545085758e7,2.0047051471795085e8,0.0,1883.1872275861122,2083.6129999999534,1883.1872275861122,0.0,0.0,200.42577241386385,1883.1872275861122,8.769228820423359e6,1.4381728117363042e8,76.29951724026358,1982.3023448274942,2083.6129999999534,2058.60186206781,0.0,0.0,25.01113793221996,1982.3023448274942,1.200750144498588e6,1.1383703200026923e8,1662.141393102254,2081.417462068857,2083.6129999999534,2083.6129999999534,1659.9458551711832,459.94585517117366,0.0,2081.417462068857,1.2090493969521118e7,2.870765574090026e8,3247.983268964246,2180.5325793102493,2083.6129999999534,2083.6129999999534,3344.9028482744834,2144.902848274504,0.0,2180.5325793102493,4.396809620692685e7,5.728688528372406e8
19,810.9199999995919,2033.079999999715,2105.376,2046.6589999998937,797.3409999994216,108.93699999981577,58.71700000010527,2046.6590000000685,6.578546703000198e6,1.3443266009300736e8,0.0,1784.0721103447233,2105.375999999976,1784.0721103447233,0.0,0.0,321.303889655236,1784.0721103447233,1.4058009084085468e7,2.1452852380203632e8,0.0,1883.1872275861122,2105.375999999976,1883.1872275861122,0.0,0.0,222.1887724138571,1883.1872275861122,9.721425359423524e6,1.5353870653305393e8,0.0,1982.3023448274942,2105.375999999976,1982.3023448274942,0.0,0.0,123.07365517248398,1982.3023448274942,5.384841634761739e6,1.1922187363503097e8,1659.9458551711832,2081.417462068857,2105.375999999976,2105.375999999976,1635.9873172400835,435.9873172400543,0.0,2081.417462068857,1.1665617175292399e7,2.98742174584295e8,3344.9028482744834,2180.5325793102493,2105.375999999976,2105.375999999976,3420.0594275848716,2220.0594275848093,0.0,2180.5325793102493,4.54265057554016e7,6.182953585926422e8
20,797.3409999994216,2046.6590000000685,2077.635,2026.2959999999248,817.7039999995557,121.35099999984887,51.33900000007824,2026.296000000112,6.466444102999504e6,1.4089910419600686e8,0.0,1784.0721103447233,2077.6350000000084,1784.0721103447233,0.0,0.0,293.562889655237,1784.0721103447233,1.284425711108574e7,2.2737278091312206e8,0.0,1883.1872275861122,2077.6350000000084,1883.1872275861122,0.0,0.0,194.44777241386134,1883.1872275861122,8.507673386423824e6,1.6204637991947776e8,0.0,1982.3023448274942,2077.6350000000084,1982.3023448274942,0.0,0.0,95.33265517248476,1982.3023448274942,4.171089661761736e6,1.233929632967927e8,1635.9873172400835,2081.417462068857,2077.6350000000084,2077.6350000000084,1639.7697793089355,439.76977930894594,0.0,2081.417462068857,1.1698789042063288e7,3.104409636263583e8,3420.0594275848716,2180.5325793102493,2077.6350000000084,2077.6350000000084,3522.957006895018,2322.957006895036,0.0,2180.5325793102493,4.734296396487492e7,6.656383225575172e8
