dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
11,351.9999999998281,2505.0000000000296,2505.0,2505.0,351.99999999985766,0.0,0.0,2505.000000000053,0.0,2152.000303448279,2467.159,2152.000303448279,0.0,0.0,315.1586965517213,2152.000303448279,0.0,2271.555875862072,2467.159,2271.555875862072,0.0,0.0,195.60312413792826,2271.555875862072,872.6220344827875,2391.1114482758653,2467.159,2467.159,796.5744827586527,0.0,0.0,2391.1114482758653,1948.6221862069274,2510.667020689659,2467.159,2467.159,1992.1302068965865,792.1302068965865,0.0,2510.667020689659,3024.62233793107,2630.2225931034523,2467.159,2467.159,3187.685931034522,1987.6859310345221,0.0,2630.2225931034523
12,351.99999999985766,2505.000000000053,2391.0,2391.0,465.99999999991087,0.0,-0.0,2391.000000000013,0.0,2152.000303448279,2494.044,2152.000303448279,0.0,0.0,342.04369655172104,2152.000303448279,0.0,2271.555875862072,2494.044,2271.555875862072,0.0,0.0,222.48812413792803,2271.555875862072,796.5744827586527,2391.1114482758653,2494.044,2494.044,693.6419310345182,0.0,0.0,2391.1114482758653,1992.1302068965865,2510.667020689659,2494.044,2494.044,2008.753227586245,808.753227586245,0.0,2510.667020689659,3187.685931034522,2630.2225931034523,2494.044,2494.044,3323.8645241379745,2123.8645241379745,0.0,2630.2225931034523
13,465.99999999991087,2391.000000000013,2925.0,2856.999999999924,0.0,0.0,68.00000000007594,2856.999999999881,0.0,2152.000303448279,2478.937,2152.000303448279,0.0,0.0,326.93669655172107,2152.000303448279,0.0,2271.555875862072,2478.937,2271.555875862072,0.0,0.0,207.38112413792805,2271.555875862072,693.6419310345182,2391.1114482758653,2478.937,2478.937,605.8163793103836,0.0,0.0,2391.1114482758653,2008.753227586245,2510.667020689659,2478.937,2478.937,2040.4832482759039,840.4832482759039,0.0,2510.667020689659,3323.8645241379745,2630.2225931034523,2478.937,2478.937,3475.1501172414264,2275.1501172414264,0.0,2630.2225931034523
14,0.0,2856.999999999881,2550.0,2550.0,306.99999999988086,0.0,0.0,2550.000000000043,0.0,2152.000303448279,2474.914,2152.000303448279,0.0,0.0,322.9136965517214,2152.000303448279,0.0,2271.555875862072,2474.914,2271.555875862072,0.0,0.0,203.35812413792837,2271.555875862072,605.8163793103836,2391.1114482758653,2474.914,2474.914,522.0138275862487,0.0,0.0,2391.1114482758653,2040.4832482759039,2510.667020689659,2474.914,2474.914,2076.2362689655624,876.2362689655624,0.0,2510.667020689659,3475.1501172414264,2630.2225931034523,2474.914,2474.914,3630.458710344878,2430.458710344878,0.0,2630.2225931034523
15,306.99999999988086,2550.000000000043,2584.0,2584.0,272.99999999992406,0.0,0.0,2583.9999999999914,0.0,2152.000303448279,2474.865,2152.000303448279,0.0,0.0,322.86469655172095,2152.000303448279,0.0,2271.555875862072,2474.865,2271.555875862072,0.0,0.0,203.30912413792794,2271.555875862072,522.0138275862487,2391.1114482758653,2474.865,2474.865,438.2602758621142,0.0,0.0,2391.1114482758653,2076.2362689655624,2510.667020689659,2474.865,2474.865,2112.038289655222,912.0382896552219,0.0,2510.667020689659,3630.458710344878,2630.2225931034523,2474.865,2474.865,3785.8163034483305,2585.8163034483305,0.0,2630.2225931034523
16,272.99999999992406,2583.9999999999914,2527.0,2527.0,329.9999999999154,0.0,-0.0,2527.0000000000173,0.0,2152.000303448279,2477.086,2152.000303448279,0.0,0.0,325.08569655172096,2152.000303448279,0.0,2271.555875862072,2477.086,2271.555875862072,0.0,0.0,205.53012413792794,2271.555875862072,438.2602758621142,2391.1114482758653,2477.086,2477.086,352.28572413797974,0.0,0.0,2391.1114482758653,2112.038289655222,2510.667020689659,2477.086,2477.086,2145.619310344881,945.6193103448809,0.0,2510.667020689659,3785.8163034483305,2630.2225931034523,2477.086,2477.086,3938.9528965517834,2738.9528965517834,0.0,2630.2225931034523
17,329.9999999999154,2527.0000000000173,2073.0,2073.0,783.9999999999327,0.0,0.0,2073.000000000027,0.0,2152.000303448279,2474.043,2152.000303448279,0.0,0.0,322.0426965517213,2152.000303448279,0.0,2271.555875862072,2474.043,2271.555875862072,0.0,0.0,202.48712413792828,2271.555875862072,352.28572413797974,2391.1114482758653,2474.043,2474.043,269.35417241384494,0.0,0.0,2391.1114482758653,2145.619310344881,2510.667020689659,2474.043,2474.043,2182.24333103454,982.24333103454,0.0,2510.667020689659,3938.9528965517834,2630.2225931034523,2474.043,2474.043,4095.1324896552355,2895.1324896552355,0.0,2630.2225931034523
18,783.9999999999327,2073.000000000027,2232.0,2232.0,624.9999999999595,0.0,0.0,2231.9999999999827,0.0,2152.000303448279,2478.764,2152.000303448279,0.0,0.0,326.7636965517213,2152.000303448279,0.0,2271.555875862072,2478.764,2271.555875862072,0.0,0.0,207.20812413792828,2271.555875862072,269.35417241384494,2391.1114482758653,2478.764,2478.764,181.70162068971013,0.0,0.0,2391.1114482758653,2182.24333103454,2510.667020689659,2478.764,2478.764,2214.146351724198,1014.1463517241982,0.0,2510.667020689659,4095.1324896552355,2630.2225931034523,2478.764,2478.764,4246.591082758688,3046.5910827586877,0.0,2630.2225931034523
19,624.9999999999595,2231.9999999999827,2175.0,2175.0,681.9999999999422,0.0,0.0,2175.000000000038,0.0,2152.000303448279,2485.251,2152.000303448279,0.0,0.0,333.2506965517214,2152.000303448279,0.0,2271.555875862072,2485.251,2271.555875862072,0.0,0.0,213.69512413792836,2271.555875862072,181.70162068971013,2391.1114482758653,2485.251,2485.251,87.56206896557524,0.0,0.0,2391.1114482758653,2214.146351724198,2510.667020689659,2485.251,2485.251,2239.562372413857,1039.5623724138568,0.0,2510.667020689659,4246.591082758688,2630.2225931034523,2485.251,2485.251,4391.56267586214,3191.56267586214,0.0,2630.2225931034523
20,681.9999999999422,2175.000000000038,2311.0,2311.0,545.9999999999804,0.0,-0.0,2310.9999999999695,0.0,2152.000303448279,2482.238,2152.000303448279,0.0,0.0,330.237696551721,2152.000303448279,0.0,2271.555875862072,2482.238,2271.555875862072,0.0,0.0,210.68212413792799,2271.555875862072,87.56206896557524,2391.1114482758653,2482.238,2478.6735172414405,0.0,0.0,3.5644827585592793,2391.1114482758653,2239.562372413857,2510.667020689659,2482.238,2482.238,2267.9913931035157,1067.9913931035157,0.0,2510.667020689659,4391.56267586214,2630.2225931034523,2482.238,2482.238,4539.547268965593,3339.547268965592,0.0,2630.2225931034523
21,545.9999999999804,2310.9999999999695,2618.0,2618.0,238.99999999994998,0.0,-0.0,2618.0000000000146,0.0,2152.000303448279,2473.456,2152.000303448279,0.0,0.0,321.4556965517213,2152.000303448279,0.0,2271.555875862072,2473.456,2271.555875862072,0.0,0.0,201.9001241379283,2271.555875862072,0.0,2391.1114482758653,2473.456,2391.1114482758653,0.0,0.0,82.34455172413482,2391.1114482758653,2267.9913931035157,2510.667020689659,2473.456,2473.456,2305.202413793175,1105.2024137931749,0.0,2510.667020689659,4539.547268965593,2630.2225931034523,2473.456,2473.456,4696.313862069044,3496.3138620690443,0.0,2630.2225931034523
22,238.99999999994998,2618.0000000000146,2459.0,2459.0,397.99999999996453,0.0,0.0,2458.9999999999704,0.0,2152.000303448279,2488.076,2152.000303448279,0.0,0.0,336.0756965517212,2152.000303448279,0.0,2271.555875862072,2488.076,2271.555875862072,0.0,0.0,216.52012413792818,2271.555875862072,0.0,2391.1114482758653,2488.076,2391.1114482758653,0.0,0.0,96.96455172413471,2391.1114482758653,2305.202413793175,2510.667020689659,2488.076,2488.076,2327.7934344828336,1127.7934344828336,0.0,2510.667020689659,4696.313862069044,2630.2225931034523,2488.076,2488.076,4838.460455172496,3638.460455172496,0.0,2630.2225931034523
23,397.99999999996453,2458.9999999999704,2618.0,2618.0,238.99999999993497,0.0,0.0,2618.000000000015,0.0,2152.000303448279,2480.641,2152.000303448279,0.0,0.0,328.64069655172125,2152.000303448279,0.0,2271.555875862072,2480.641,2271.555875862072,0.0,0.0,209.08512413792823,2271.555875862072,0.0,2391.1114482758653,2480.641,2391.1114482758653,0.0,0.0,89.52955172413476,2391.1114482758653,2327.7934344828336,2510.667020689659,2480.641,2480.641,2357.8194551724923,1157.8194551724923,0.0,2510.667020689659,4838.460455172496,2630.2225931034523,2480.641,2480.641,4988.042048275949,3788.0420482759487,0.0,2630.2225931034523
24,238.99999999993497,2618.000000000015,2812.0,2812.0,44.99999999994998,0.0,0.0,2812.000000000002,0.0,2152.000303448279,2474.252,2152.000303448279,0.0,0.0,322.2516965517211,2152.000303448279,0.0,2271.555875862072,2474.252,2271.555875862072,0.0,0.0,202.6961241379281,2271.555875862072,0.0,2391.1114482758653,2474.252,2391.1114482758653,0.0,0.0,83.14055172413464,2391.1114482758653,2357.8194551724923,2510.667020689659,2474.252,2474.252,2394.2344758621516,1194.2344758621516,0.0,2510.667020689659,4988.042048275949,2630.2225931034523,2474.252,2474.252,5144.0126413794005,3944.012641379401,0.0,2630.2225931034523
25,44.99999999994998,2812.000000000002,2527.0,2527.0,329.9999999999518,0.0,0.0,2527.000000000013,0.0,2152.000303448279,2472.177,2152.000303448279,0.0,0.0,320.1766965517213,2152.000303448279,0.0,2271.555875862072,2472.177,2271.555875862072,0.0,0.0,200.6211241379283,2271.555875862072,0.0,2391.1114482758653,2472.177,2391.1114482758653,0.0,0.0,81.06555172413482,2391.1114482758653,2394.2344758621516,2510.667020689659,2472.177,2472.177,2432.7244965518107,1232.7244965518107,0.0,2510.667020689659,5144.0126413794005,2630.2225931034523,2472.177,2472.177,5302.058234482853,4102.058234482853,0.0,2630.2225931034523
26,329.9999999999518,2527.000000000013,2357.0,2357.0,499.999999999965,0.0,-0.0,2357.000000000011,0.0,2152.000303448279,2472.74,2152.000303448279,0.0,0.0,320.73969655172095,2152.000303448279,0.0,2271.555875862072,2472.74,2271.555875862072,0.0,0.0,201.18412413792794,2271.555875862072,0.0,2391.1114482758653,2472.74,2391.1114482758653,0.0,0.0,81.62855172413447,2391.1114482758653,2432.7244965518107,2510.667020689659,2472.74,2472.74,2470.6515172414693,1270.6515172414693,0.0,2510.667020689659,5302.058234482853,2630.2225931034523,2472.74,2472.74,5459.540827586305,4259.540827586305,0.0,2630.2225931034523
27,499.999999999965,2357.000000000011,2596.0,2596.0,260.9999999999759,0.0,0.0,2596.0000000000105,0.0,2152.000303448279,2481.244,2152.000303448279,0.0,0.0,329.2436965517213,2152.000303448279,0.0,2271.555875862072,2481.244,2271.555875862072,0.0,0.0,209.6881241379283,2271.555875862072,0.0,2391.1114482758653,2481.244,2391.1114482758653,0.0,0.0,90.13255172413483,2391.1114482758653,2470.6515172414693,2510.667020689659,2481.244,2481.244,2500.074537931128,1300.074537931128,0.0,2510.667020689659,5459.540827586305,2630.2225931034523,2481.244,2481.244,5608.519420689756,4408.519420689756,0.0,2630.2225931034523
28,260.9999999999759,2596.0000000000105,2425.0,2425.0,431.99999999998636,0.0,-0.0,2425.000000000003,0.0,2152.000303448279,2469.142,2152.000303448279,0.0,0.0,317.141696551721,2152.000303448279,0.0,2271.555875862072,2469.142,2271.555875862072,0.0,0.0,197.58612413792798,2271.555875862072,0.0,2391.1114482758653,2469.142,2391.1114482758653,0.0,0.0,78.03055172413451,2391.1114482758653,2500.074537931128,2510.667020689659,2469.142,2469.142,2541.5995586207864,1341.5995586207864,0.0,2510.667020689659,5608.519420689756,2630.2225931034523,2469.142,2469.142,5769.600013793208,4569.600013793208,0.0,2630.2225931034523
29,431.99999999998636,2425.000000000003,2289.0,2289.0,567.9999999999895,0.0,0.0,2357.0,0.0,2152.000303448279,2477.592,2152.000303448279,0.0,0.0,325.59169655172127,2152.000303448279,0.0,2271.555875862072,2477.592,2271.555875862072,0.0,0.0,206.03612413792825,2271.555875862072,0.0,2391.1114482758653,2477.592,2391.1114482758653,0.0,0.0,86.48055172413478,2391.1114482758653,2541.5995586207864,2510.667020689659,2477.592,2477.592,2574.674579310445,1374.674579310445,0.0,2510.667020689659,5769.600013793208,2630.2225931034523,2477.592,2477.592,5922.230606896659,4722.230606896659,0.0,2630.2225931034523
30,567.9999999999895,2357.0,2618.0,2618.0,306.99999999998954,0.0,0.0,0.0,0.0,2152.000303448279,2480.36,2152.000303448279,0.0,0.0,328.3596965517213,2152.000303448279,0.0,2271.555875862072,2480.36,2271.555875862072,0.0,0.0,208.80412413792828,2271.555875862072,0.0,2391.1114482758653,2480.36,2391.1114482758653,0.0,0.0,89.24855172413481,2391.1114482758653,2574.674579310445,2510.667020689659,2480.36,2480.36,2604.9816000001033,1404.9816000001033,0.0,2510.667020689659,5922.230606896659,2630.2225931034523,2480.36,2480.36,6072.09320000011,4872.09320000011,0.0,2630.2225931034523
