politica,n,custo_medio,custo_ic,custo_p5,custo_p50,custo_p95,spill_prob,spill_cond_med,fila_pico_med,service_level,entram_dia,proc_dia,ocio_dia,spill_dia
SDDP,1000,2.035697880040017e8,2.554817106647348e6,1.3959064309985554e8,2.0018074800017697e8,2.7054344479989886e8,1.0,4105.330999992812,2370.384999999597,1.0,2042.705499999865,2055.074699999862,50.6007000001384,136.84436666642708
P_-10,1000,3.7072606543034714e8,2.2177096267639374e-8,3.707260654303468e8,3.707260654303468e8,3.707260654303468e8,1.0,1889.1294344825028,2120.270999999998,1.0,1825.329039999901,1865.3290399999196,240.3463600000817,62.97098114941676
P_-5,1000,2.6378158736956397e8,2.032900491200276e-8,2.6378158736956364e8,2.6378158736956364e8,2.6378158736956364e8,1.0,2524.4598620680736,2120.270999999998,1.0,1921.1806533332249,1961.1806533332453,144.494746666753,84.14866206893579
P_0,1000,1.8707687033713526e8,1.8480913556366147e-9,1.870768703371353e8,1.870768703371353e8,1.870768703371353e8,1.0,4027.3171724111608,2120.270999999998,1.0,2017.0322666665468,2057.0322666665725,48.64313333342435,134.2439057470387
P_+5,1000,4.568372957531863e8,3.326564440145906e-8,4.568372957531868e8,4.568372957531868e8,4.568372957531868e8,1.0,18772.641999956995,2144.9526689654163,1.0,2112.8838799998694,2105.675400000003,0.0,625.7547333318998
P_+10,1000,1.27240033296115e9,5.913892338037167e-8,1.272400332961149e9,1.272400332961149e9,1.272400332961149e9,1.0,61905.86799995506,4291.802799997002,0.965674029027311,2208.735493333192,2105.675400000003,0.0,2063.528933331835
