dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum
11,389.5169999998949,2467.4829999999765,2466.677,2463.5539999999946,393.4459999998379,0.0,3.123000000006268,2463.554000000001,1.2288740039999206e6,2.7215660505999777e7,0.0,2151.4061482758375,2466.67699999999,2151.4061482758375,0.0,0.0,315.27085172414047,2151.4061482758375,1.3794045575486545e7,9.59473508919067e7,0.0,2270.928712069006,2466.67699999999,2270.928712069006,0.0,0.0,195.7482879310338,2270.928712069006,8.564574841846481e6,5.440455381272256e7,922.0484827586062,2390.4512758620845,2466.67699999999,2466.67699999999,845.822758620694,0.0,0.0,2390.4512758620845,2.4661803817241527e6,6.889783680075808e7,1997.7515568965894,2509.9738396551993,2466.67699999999,2466.67699999999,2041.048396551745,841.0483965517398,0.0,2509.9738396551993,1.9268361491560277e7,1.7666429709164664e8,3073.4546310344363,2629.4964034482828,2466.67699999999,2466.67699999999,3236.2740344827776,2036.2740344827166,0.0,2629.4964034482828,4.181210986139675e7,2.9990461023153526e8
12,393.44599999983893,2463.554000000001,2480.63,2474.720999999991,382.2789999998773,0.0,5.909000000008762,2474.7209999999927,1.3406728519999778e6,2.8556333357999757e7,0.0,2151.4061482758375,2480.6299999999374,2151.4061482758375,0.0,0.0,329.22385172413806,2151.4061482758375,1.440453118448636e7,1.1035188207639305e8,0.0,2270.928712069006,2480.6299999999374,2270.928712069006,0.0,0.0,209.701287931035,2270.928712069006,9.175060450846598e6,6.3579614263569154e7,845.822758620694,2390.4512758620845,2480.6299999999374,2480.6299999999374,755.6440344827689,0.0,0.0,2390.4512758620845,2.23404617637926e6,7.113188297713734e7,2041.048396551745,2509.9738396551993,2480.6299999999374,2480.6299999999374,2070.3922362069106,870.3922362069067,0.0,2509.9738396551993,1.984538822384808e7,1.9650968531549472e8,3236.2740344827776,2629.4964034482828,2480.6299999999374,2480.6299999999374,3385.1404379309643,2185.1404379310425,0.0,2629.4964034482828,4.466018482831642e7,3.445647950598517e8
13,382.2789999998779,2474.7209999999927,2478.688,2473.947999999993,383.0519999998892,0.0,4.740000000006739,2473.948000000009,1.275025964999966e6,2.983135932299972e7,0.0,2151.4061482758375,2478.688000000042,2151.4061482758375,0.0,0.0,327.2818517241393,2151.4061482758375,1.4319562858486177e7,1.2467144493487923e8,0.0,2270.928712069006,2478.688000000042,2270.928712069006,0.0,0.0,207.75928793103233,2270.928712069006,9.090092124846525e6,7.266970638841568e7,755.6440344827689,2390.4512758620845,2478.688000000042,2478.688000000042,667.407310344826,0.0,0.0,2390.4512758620845,1.9851566260344952e6,7.311703960317184e7,2070.3922362069106,2509.9738396551993,2478.688000000042,2478.688000000042,2101.678075862103,901.6780758620848,0.0,2509.9738396551993,2.0437141373136137e7,2.1694682668863085e8,3385.1404379309643,2629.4964034482828,2478.688000000042,2478.688000000042,3535.94884137936,2335.9488413792938,0.0,2629.4964034482828,4.752298621223722e7,3.9208778127208894e8
14,383.05199999988974,2473.948000000009,2477.323,2471.777999999997,385.2219999999336,0.0,5.545000000004734,2471.777999999967,1.3143526149999693e6,3.1145711937999688e7,0.0,2151.4061482758375,2477.3230000000094,2151.4061482758375,0.0,0.0,325.9168517241432,2151.4061482758375,1.4259840013486397e7,1.3893128494836563e8,0.0,2270.928712069006,2477.3230000000094,2270.928712069006,0.0,0.0,206.39428793103434,2270.928712069006,9.030369279846376e6,8.170007566826205e7,667.407310344826,2390.4512758620845,2477.3230000000094,2477.3230000000094,580.5355862068916,0.0,0.0,2390.4512758620845,1.7408803406896587e6,7.48579199438615e7,2101.678075862103,2509.9738396551993,2477.3230000000094,2477.3230000000094,2134.328915517268,934.3289155172258,0.0,2509.9738396551993,2.1055635802424144e7,2.3800246249105498e8,3535.94884137936,2629.4964034482828,2477.3230000000094,2477.3230000000094,3688.1222448275503,2488.122244827599,0.0,2629.4964034482828,5.0412528876159176e7,4.4250031014824814e8
15,385.2219999999337,2471.777999999967,2479.708,2473.2309999999893,383.7689999998785,0.0,6.4770000000092605,2473.2310000000048,1.3561306260001464e6,3.2501842563999835e7,0.0,2151.4061482758375,2479.7080000000537,2151.4061482758375,0.0,0.0,328.3018517241392,2151.4061482758375,1.4364190918486077e7,1.5329547586685172e8,0.0,2270.928712069006,2479.7080000000537,2270.928712069006,0.0,0.0,208.77928793103666,2270.928712069006,9.1347201848467e6,9.083479585310875e7,580.5355862068916,2390.4512758620845,2479.7080000000537,2479.7080000000537,491.27886206895715,0.0,0.0,2390.4512758620845,1.4951811553448061e6,7.635310109920631e7,2134.328915517268,2509.9738396551993,2479.7080000000537,2479.7080000000537,2164.5947551724435,964.5947551724043,0.0,2509.9738396551993,2.163404409671172e7,2.596365065877667e8,3688.1222448275503,2629.4964034482828,2479.7080000000537,2479.7080000000537,3837.9106482757597,2637.9106482758175,0.0,2629.4964034482828,5.3261985405080274e7,4.957622955533284e8
16,383.7689999998789,2473.2310000000048,2476.46,2471.183999999996,385.8159999999107,0.0,5.276000000005508,2471.184000000039,1.3044119029999438e6,3.3806254466999784e7,0.0,2151.4061482758375,2476.4599999999728,2151.4061482758375,0.0,0.0,325.05385172413673,2151.4061482758375,1.4222081174486164e7,1.6751755704133788e8,0.0,2270.928712069006,2476.4599999999728,2270.928712069006,0.0,0.0,205.53128793103104,2270.928712069006,8.9926104408465e6,9.982740629395525e7,491.27886206895715,2390.4512758620845,2476.4599999999728,2476.4599999999728,405.2701379310412,0.0,0.0,2390.4512758620845,1.2506858550000137e6,7.760378695420632e7,2164.5947551724435,2509.9738396551993,2476.4599999999728,2476.4599999999728,2198.108594827576,998.1085948275867,0.0,2509.9738396551993,2.2266309604000084e7,2.819028161917668e8,3837.9106482757597,2629.4964034482828,2476.4599999999728,2476.4599999999728,3990.9470517240684,2790.9470517241175,0.0,2629.4964034482828,5.616529914700096e7,5.519275947003293e8
17,385.8159999999109,2471.184000000039,2484.402,2480.069,376.9309999999881,0.0,4.333000000000887,2480.068999999961,1.2536138139998915e6,3.5059868280999675e7,0.0,2151.4061482758375,2484.4019999999655,2151.4061482758375,0.0,0.0,332.99585172413606,2151.4061482758375,1.4569567500486346e7,1.8208712454182422e8,0.0,2270.928712069006,2484.4019999999655,2270.928712069006,0.0,0.0,213.47328793103267,2270.928712069006,9.340096766846567e6,1.0916750306080182e8,405.2701379310412,2390.4512758620845,2484.4019999999655,2484.4019999999655,311.3194137930998,0.0,0.0,2390.4512758620845,999642.424655191,7.860342937886152e7,2198.108594827576,2509.9738396551993,2484.4019999999655,2484.4019999999655,2223.6804344828024,1023.6804344827543,0.0,2509.9738396551993,2.2763279219287876e7,3.046660954110547e8,3990.9470517240684,2629.4964034482828,2484.4019999999655,2484.4019999999655,4136.041455172461,2936.041455172457,0.0,2629.4964034482828,5.893331699691982e7,6.108609116972492e8
18,376.9309999999881,2480.068999999961,2491.981,2487.060999999998,369.93899999991345,0.0,4.9200000000050625,2487.061000000008,1.257148410000079e6,3.631701669099975e7,0.0,2151.4061482758375,2491.980999999995,2151.4061482758375,0.0,0.0,340.5748517241431,2151.4061482758375,1.4901171487485997e7,1.9698829602931023e8,0.0,2270.928712069006,2491.980999999995,2270.928712069006,0.0,0.0,221.0522879310318,2270.928712069006,9.671700753846476e6,1.188392038146483e8,311.3194137930998,2390.4512758620845,2491.980999999995,2491.980999999995,209.78968965517436,0.0,0.0,2390.4512758620845,726947.1993103379,7.933037657817185e7,2223.6804344828024,2509.9738396551993,2491.980999999995,2491.980999999995,2241.673274137967,1041.6732741379171,0.0,2509.9738396551993,2.3115733870575305e7,3.2778182928163e8,4136.041455172461,2629.4964034482828,2491.980999999995,2491.980999999995,4273.55685862063,3073.5568586206386,0.0,2629.4964034482828,6.15568198828425e7,6.724177315800917e8
19,369.9389999999139,2487.061000000008,2477.345,2470.407999999999,386.59199999994826,0.0,6.937000000003516,2470.407999999996,1.3588753059999486e6,3.7675891996999696e7,0.0,2151.4061482758375,2477.3450000000107,2151.4061482758375,0.0,0.0,325.9388517241415,2151.4061482758375,1.4260802579486387e7,2.1124909860879663e8,0.0,2270.928712069006,2477.3450000000107,2270.928712069006,0.0,0.0,206.4162879310321,2270.928712069006,9.03133184584639e6,1.2787053566049469e8,209.78968965517436,2390.4512758620845,2477.3450000000107,2477.3450000000107,122.89596551723955,0.0,0.0,2390.4512758620845,464096.4889655116,7.979447306713736e7,2241.673274137967,2509.9738396551993,2477.3450000000107,2477.3450000000107,2274.302113793111,1074.3021137930937,0.0,2509.9738396551993,2.371529723286411e7,3.514971265144941e8,4273.55685862063,2629.4964034482828,2477.3450000000107,2477.3450000000107,4425.708262069046,3225.7082620690085,0.0,2629.4964034482828,6.442743147976112e7,7.368451630598528e8
20,386.59199999994837,2470.407999999996,2479.019,2473.6309999999985,383.3689999999373,0.0,5.388000000003449,2473.6309999999917,1.3098367589999812e6,3.8985728755999684e7,0.0,2151.4061482758375,2479.0190000000057,2151.4061482758375,0.0,0.0,327.6128517241435,2151.4061482758375,1.4334045101486204e7,2.2558314371028283e8,0.0,2270.928712069006,2479.0190000000057,2270.928712069006,0.0,0.0,208.09028793103118,2270.928712069006,9.104574367846547e6,1.3697511002834123e8,122.89596551723955,2390.4512758620845,2479.0190000000057,2479.0190000000057,34.328241379309695,0.0,0.0,2390.4512758620845,219327.7686206911,8.001380083575805e7,2274.302113793111,2509.9738396551993,2479.0190000000057,2479.0190000000057,2305.256953448268,1105.2569534482882,0.0,2509.9738396551993,2.4305805371151287e7,3.758029318856454e8,4425.708262069046,2629.4964034482828,2479.0190000000057,2479.0190000000057,4576.185665517195,3376.1856655172232,0.0,2629.4964034482828,6.728898785268363e7,8.041341509125365e8
