politica,n,custo_medio,custo_ic,custo_p5,custo_p50,custo_p95,spill_prob,spill_cond_med,fila_pico_med,service_level,entram_dia,proc_dia,ocio_dia,spill_dia
SDDP,1000,5.17890617109991e7,451931.91895821487,4.03408812499922e7,5.1336077000001416e7,6.447525775001166e7,0.985,522.9137055837564,1714.485,1.0,2448.2990999999993,2473.759033333329,4.8452333333382125,17.169
P_-10,1000,3.6869775172202575e8,1.1088548133819687e-8,3.686977517220256e8,3.686977517220256e8,3.686977517220256e8,1.0,704.0600758620712,1714.485000000001,1.0,2179.19374000003,2219.193740000002,259.4105266666646,23.468669195402374
P_-5,1000,2.279961922752951e8,1.663282220072953e-8,2.2799619227529484e8,2.2799619227529484e8,2.2799619227529484e8,1.0,934.5079068965567,1714.485000000001,1.0,2294.7045033333275,2334.7045033333366,143.89976333333183,31.15026356321856
P_0,1000,1.1754883799675776e8,0.0,1.1754883799675776e8,1.1754883799675776e8,1.1754883799675776e8,1.0,1800.7919310345062,1714.485000000001,1.0,2410.2152666666343,2450.2152666666693,28.38899999999831,60.02639770115021
P_+5,1000,6.554340921690167e8,2.9569461690185834e-8,6.554340921690162e8,6.554340921690162e8,6.554340921690162e8,1.0,29312.46450000089,2613.6529000000564,0.987644003089113,2525.7260300000376,2478.604266666667,0.0,977.0821500000296
P_+10,1000,1.6382689730670178e9,1.4784730845092917e-8,1.638268973067018e9,1.638268973067018e9,1.638268973067018e9,1.0,81292.30800000101,6078.975800000069,0.94275109385779,2641.236793333303,2478.604266666667,0.0,2709.7436000000334
