dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
11,114.9999999993197,2728.999999999698,2762.0,2762.0,81.99999999901775,0.0,0.0,2761.999999999739,0.0,1776.7052068965047,2100.851,1776.7052068965047,0.0,0.0,324.1457931034954,1776.7052068965047,84.46246551679587,1875.4110517240883,2100.851,1959.8735172408842,0.0,0.0,140.9774827591159,1875.4110517240883,972.8150689650479,1974.116896551672,2100.851,2100.851,846.08096551672,0.0,0.0,1974.116896551672,1861.1676724133013,2072.8227413792556,2100.851,2100.851,1833.1394137925568,633.1394137925568,0.0,2072.8227413792556,2749.5202758615565,2171.5285862068395,2100.851,2100.851,2820.1978620683954,1620.1978620683954,0.0,2171.5285862068395
12,81.99999999901775,2761.999999999739,2466.0,2466.0,377.9999999987567,0.0,0.0,2466.0000000009954,0.0,1776.7052068965047,2099.876,1776.7052068965047,0.0,0.0,323.1707931034955,1776.7052068965047,0.0,1875.4110517240883,2099.876,1875.4110517240883,0.0,0.0,224.46494827591187,1875.4110517240883,846.08096551672,1974.116896551672,2099.876,2099.876,720.321862068392,0.0,0.0,1974.116896551672,1833.1394137925568,2072.8227413792556,2099.876,2099.876,1806.0861551718122,606.0861551718122,0.0,2072.8227413792556,2820.1978620683954,2171.5285862068395,2099.876,2099.876,2891.850448275234,1691.8504482752342,0.0,2171.5285862068395
13,377.9999999987567,2466.0000000009954,3354.0,2843.999999999752,-0.0,0.0,510.00000000024784,2843.9999999993784,0.0,1776.7052068965047,2091.089,1776.7052068965047,0.0,0.0,314.38379310349524,1776.7052068965047,0.0,1875.4110517240883,2091.089,1875.4110517240883,0.0,0.0,215.6779482759116,1875.4110517240883,720.321862068392,1974.116896551672,2091.089,2091.089,603.3497586200638,0.0,0.0,1974.116896551672,1806.0861551718122,2072.8227413792556,2091.089,2091.089,1787.8198965510678,587.8198965510678,0.0,2072.8227413792556,2891.850448275234,2171.5285862068395,2091.089,2091.089,2972.2900344820737,1772.2900344820737,0.0,2171.5285862068395
14,-0.0,2843.9999999993784,1940.0,1940.0,903.9999999993784,0.0,0.0,1940.0000000000182,0.0,1776.7052068965047,2116.542,1776.7052068965047,0.0,0.0,339.8367931034952,1776.7052068965047,0.0,1875.4110517240883,2116.542,1875.4110517240883,0.0,0.0,241.13094827591158,1875.4110517240883,603.3497586200638,1974.116896551672,2116.542,2116.542,460.9246551717356,0.0,0.0,1974.116896551672,1787.8198965510678,2072.8227413792556,2116.542,2116.542,1744.1006379303235,544.1006379303235,0.0,2072.8227413792556,2972.2900344820737,2171.5285862068395,2116.542,2116.542,3027.276620688913,1827.2766206889132,0.0,2171.5285862068395
15,903.9999999993784,1940.0000000000182,1644.0,1644.0,1199.9999999993966,-6.034497346263379e-10,-0.0,1644.0000000001405,0.0,1776.7052068965047,2111.863,1776.7052068965047,0.0,0.0,335.1577931034951,1776.7052068965047,0.0,1875.4110517240883,2111.863,1875.4110517240883,0.0,0.0,236.4519482759115,1875.4110517240883,460.9246551717356,1974.116896551672,2111.863,2111.863,323.17855172340796,0.0,0.0,1974.116896551672,1744.1006379303235,2072.8227413792556,2111.863,2111.863,1705.0603793095793,505.0603793095793,0.0,2072.8227413792556,3027.276620688913,2171.5285862068395,2111.863,2111.863,3086.9422068957533,1886.9422068957533,0.0,2171.5285862068395
16,1199.9999999993966,1644.0000000001405,1644.0,1644.0,1199.999999999537,0.0,0.0,1644.0000000000057,0.0,1776.7052068965047,2137.449,1776.7052068965047,0.0,0.0,360.74379310349536,1776.7052068965047,0.0,1875.4110517240883,2137.449,1875.4110517240883,0.0,0.0,262.03794827591173,1875.4110517240883,323.17855172340796,1974.116896551672,2137.449,2137.449,159.8464482750801,0.0,0.0,1974.116896551672,1705.0603793095793,2072.8227413792556,2137.449,2137.449,1640.4341206888348,440.4341206888348,0.0,2072.8227413792556,3086.9422068957533,2171.5285862068395,2137.449,2137.449,3121.021793102593,1921.0217931025932,0.0,2171.5285862068395
17,1199.999999999537,1644.0000000000057,987.0,987.0,1856.9999999995425,656.9999999995425,0.0,986.999999999467,0.0,1776.7052068965047,2101.105,1776.7052068965047,0.0,0.0,324.3997931034953,1776.7052068965047,0.0,1875.4110517240883,2101.105,1875.4110517240883,0.0,0.0,225.69394827591168,1875.4110517240883,159.8464482750801,1974.116896551672,2101.105,2101.105,32.85834482675227,0.0,0.0,1974.116896551672,1640.4341206888348,2072.8227413792556,2101.105,2101.105,1612.1518620680904,412.1518620680904,0.0,2072.8227413792556,3121.021793102593,2171.5285862068395,2101.105,2101.105,3191.445379309432,1991.4453793094322,0.0,2171.5285862068395
18,1856.9999999995425,986.999999999467,1579.0,1579.0,1264.9999999990096,64.99999999900956,-0.0,1579.0000000006025,0.0,1776.7052068965047,2111.72,1776.7052068965047,0.0,0.0,335.0147931034951,1776.7052068965047,0.0,1875.4110517240883,2111.72,1875.4110517240883,0.0,0.0,236.30894827591146,1875.4110517240883,32.85834482675227,1974.116896551672,2111.72,2006.9752413784242,0.0,0.0,104.74475862157556,1974.116896551672,1612.1518620680904,2072.8227413792556,2111.72,2111.72,1573.2546034473462,373.2546034473462,0.0,2072.8227413792556,3191.445379309432,2171.5285862068395,2111.72,2111.72,3251.2539655162723,2051.2539655162723,0.0,2171.5285862068395
19,1264.9999999990096,1579.0000000006025,2598.0,2598.0,245.9999999996121,0.0,0.0,2598.0000000000573,0.0,1776.7052068965047,2038.03,1776.7052068965047,0.0,0.0,261.32479310349527,1776.7052068965047,0.0,1875.4110517240883,2038.03,1875.4110517240883,0.0,0.0,162.61894827591163,1875.4110517240883,0.0,1974.116896551672,2038.03,1974.116896551672,0.0,0.0,63.913103448328,1974.116896551672,1573.2546034473462,2072.8227413792556,2038.03,2038.03,1608.0473448266018,408.04734482660183,0.0,2072.8227413792556,3251.2539655162723,2171.5285862068395,2038.03,2038.03,3384.7525517231124,2184.7525517231124,0.0,2171.5285862068395
20,245.9999999996121,2598.0000000000573,2105.0,2105.0,738.9999999996694,0.0,0.0,2104.999999999977,0.0,1776.7052068965047,2109.35,1776.7052068965047,0.0,0.0,332.6447931034952,1776.7052068965047,0.0,1875.4110517240883,2109.35,1875.4110517240883,0.0,0.0,233.93894827591157,1875.4110517240883,0.0,1974.116896551672,2109.35,1974.116896551672,0.0,0.0,135.23310344832794,1974.116896551672,1608.0473448266018,2072.8227413792556,2109.35,2109.35,1571.5200862058578,371.52008620585775,0.0,2072.8227413792556,3384.7525517231124,2171.5285862068395,2109.35,2109.35,3446.931137929952,2246.931137929952,0.0,2171.5285862068395
21,738.9999999996694,2104.999999999977,2992.0,2843.999999999646,-0.0,0.0,148.0000000003538,2843.999999999559,0.0,1776.7052068965047,2113.034,1776.7052068965047,0.0,0.0,336.3287931034954,1776.7052068965047,0.0,1875.4110517240883,2113.034,1875.4110517240883,0.0,0.0,237.62294827591177,1875.4110517240883,0.0,1974.116896551672,2113.034,1974.116896551672,0.0,0.0,138.91710344832813,1974.116896551672,1571.5200862058578,2072.8227413792556,2113.034,2113.034,1531.3088275851132,331.30882758511325,0.0,2072.8227413792556,3446.931137929952,2171.5285862068395,2113.034,2113.034,3505.425724136792,2305.425724136792,0.0,2171.5285862068395
22,-0.0,2843.999999999559,2565.0,2565.0,278.9999999995589,0.0,0.0,2565.000000000125,0.0,1776.7052068965047,2060.573,1776.7052068965047,0.0,0.0,283.86779310349516,1776.7052068965047,0.0,1875.4110517240883,2060.573,1875.4110517240883,0.0,0.0,185.16194827591153,1875.4110517240883,0.0,1974.116896551672,2060.573,1974.116896551672,0.0,0.0,86.4561034483279,1974.116896551672,1531.3088275851132,2072.8227413792556,2060.573,2060.573,1543.558568964369,343.558568964369,0.0,2072.8227413792556,3505.425724136792,2171.5285862068395,2060.573,2060.573,3616.381310343632,2416.381310343632,0.0,2171.5285862068395
23,278.9999999995589,2565.000000000125,1086.0,1086.0,1757.999999999684,557.999999999684,-0.0,1086.0000000001571,0.0,1776.7052068965047,2068.336,1776.7052068965047,0.0,0.0,291.6307931034951,1776.7052068965047,0.0,1875.4110517240883,2068.336,1875.4110517240883,0.0,0.0,192.92494827591145,1875.4110517240883,0.0,1974.116896551672,2068.336,1974.116896551672,0.0,0.0,94.21910344832781,1974.116896551672,1543.558568964369,2072.8227413792556,2068.336,2068.336,1548.0453103436248,348.0453103436248,0.0,2072.8227413792556,3616.381310343632,2171.5285862068395,2068.336,2068.336,3719.573896550471,2519.573896550471,0.0,2171.5285862068395
24,1757.999999999684,1086.0000000001571,1480.0,1480.0,1363.9999999998408,163.99999999984084,0.0,1479.999999999905,0.0,1776.7052068965047,2103.723,1776.7052068965047,0.0,0.0,327.01779310349525,1776.7052068965047,0.0,1875.4110517240883,2103.723,1875.4110517240883,0.0,0.0,228.31194827591162,1875.4110517240883,0.0,1974.116896551672,2103.723,1974.116896551672,0.0,0.0,129.60610344832799,1974.116896551672,1548.0453103436248,2072.8227413792556,2103.723,2103.723,1517.1450517228805,317.14505172288045,0.0,2072.8227413792556,3719.573896550471,2171.5285862068395,2103.723,2103.723,3787.379482757311,2587.379482757311,0.0,2171.5285862068395
25,1363.9999999998408,1479.999999999905,2203.0,2203.0,640.9999999997458,0.0,-0.0,2203.0000000000755,0.0,1776.7052068965047,2103.563,1776.7052068965047,0.0,0.0,326.8577931034954,1776.7052068965047,0.0,1875.4110517240883,2103.563,1875.4110517240883,0.0,0.0,228.15194827591176,1875.4110517240883,0.0,1974.116896551672,2103.563,1974.116896551672,0.0,0.0,129.44610344832813,1974.116896551672,1517.1450517228805,2072.8227413792556,2103.563,2103.563,1486.404793102136,286.40479310213595,0.0,2072.8227413792556,3787.379482757311,2171.5285862068395,2103.563,2103.563,3855.3450689641504,2655.3450689641504,0.0,2171.5285862068395
26,640.9999999997458,2203.0000000000755,2203.0,2203.0,640.9999999998213,0.0,-0.0,2203.000000000037,0.0,1776.7052068965047,2074.346,1776.7052068965047,0.0,0.0,297.6407931034953,1776.7052068965047,0.0,1875.4110517240883,2074.346,1875.4110517240883,0.0,0.0,198.93494827591167,1875.4110517240883,0.0,1974.116896551672,2074.346,1974.116896551672,0.0,0.0,100.22910344832803,1974.116896551672,1486.404793102136,2072.8227413792556,2074.346,2074.346,1484.8815344813916,284.88153448139155,0.0,2072.8227413792556,3855.3450689641504,2171.5285862068395,2074.346,2074.346,3952.52765517099,2752.52765517099,0.0,2171.5285862068395
27,640.9999999998213,2203.000000000037,2400.0,2400.0,443.9999999998581,0.0,-0.0,2400.000000000055,0.0,1776.7052068965047,2069.796,1776.7052068965047,0.0,0.0,293.0907931034951,1776.7052068965047,0.0,1875.4110517240883,2069.796,1875.4110517240883,0.0,0.0,194.38494827591148,1875.4110517240883,0.0,1974.116896551672,2069.796,1974.116896551672,0.0,0.0,95.67910344832785,1974.116896551672,1484.8815344813916,2072.8227413792556,2069.796,2069.796,1487.9082758606473,287.90827586064734,0.0,2072.8227413792556,3952.52765517099,2171.5285862068395,2069.796,2069.796,4054.26024137783,2854.26024137783,0.0,2171.5285862068395
28,443.9999999998581,2400.000000000055,954.0,954.0,1889.9999999999131,689.9999999999131,0.0,954.000000000022,0.0,1776.7052068965047,2092.673,1776.7052068965047,0.0,0.0,315.96779310349507,1776.7052068965047,0.0,1875.4110517240883,2092.673,1875.4110517240883,0.0,0.0,217.26194827591144,1875.4110517240883,0.0,1974.116896551672,2092.673,1974.116896551672,0.0,0.0,118.5561034483278,1974.116896551672,1487.9082758606473,2072.8227413792556,2092.673,2092.673,1468.0580172399032,268.05801723990317,0.0,2072.8227413792556,4054.26024137783,2171.5285862068395,2092.673,2092.673,4133.115827584669,2933.115827584669,0.0,2171.5285862068395
29,1889.9999999999131,954.000000000022,1283.0,1283.0,1560.9999999999354,360.9999999999354,-0.0,1332.0000000000502,0.0,1776.7052068965047,2085.381,1776.7052068965047,0.0,0.0,308.67579310349515,1776.7052068965047,0.0,1875.4110517240883,2085.381,1875.4110517240883,0.0,0.0,209.96994827591152,1875.4110517240883,0.0,1974.116896551672,2085.381,1974.116896551672,0.0,0.0,111.26410344832789,1974.116896551672,1468.0580172399032,2072.8227413792556,2085.381,2085.381,1455.499758619159,255.4997586191589,0.0,2072.8227413792556,4133.115827584669,2171.5285862068395,2085.381,2085.381,4219.263413791508,3019.263413791509,0.0,2171.5285862068395
30,1560.9999999999354,1332.0000000000502,2992.0,2892.9999999999854,-0.0,0.0,99.00000000001455,0.0,0.0,1776.7052068965047,2173.182,1776.7052068965047,0.0,0.0,396.4767931034951,1776.7052068965047,0.0,1875.4110517240883,2173.182,1875.4110517240883,0.0,0.0,297.77094827591145,1875.4110517240883,0.0,1974.116896551672,2173.182,1974.116896551672,0.0,0.0,199.06510344832782,1974.116896551672,1455.499758619159,2072.8227413792556,2173.182,2173.182,1355.1404999984147,155.14049999841473,0.0,2072.8227413792556,4219.263413791508,2171.5285862068395,2173.182,2173.182,4217.609999998348,3017.609999998348,0.0,2171.5285862068395
