dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum,SDDP_estoc_custo_mean,SDDP_estoc_custo_p5,SDDP_estoc_custo_p95,SDDP_estoc_custo_acum_mean,SDDP_estoc_custo_acum_p5,SDDP_estoc_custo_acum_p95
12,367.9549999998876,2489.044999999956,2473.233,2473.233,383.7669999998434,0.0,-0.0,2473.2330000000884,1.048652189999625e6,2.588841693299609e7,0.0,2152.878424137887,2473.233000000007,2152.878424137887,0.0,0.0,320.3545758620607,2152.878424137887,1.4016473757692778e7,1.1174721841349375e8,0.0,2272.482781034469,2473.233000000007,2272.482781034469,0.0,0.0,200.75021896551334,2272.482781034469,8.783424330397855e6,6.446895476153306e7,796.1443793104186,2392.0871379310274,2473.233000000007,2473.233000000007,714.9985172414456,0.0,0.0,2392.0871379310274,2.108044340689882e6,6.8860107162072e7,1992.1879482758834,2511.6914948276153,2473.233000000007,2473.233000000007,2030.6464431034883,830.6464431035272,0.0,2511.6914948276153,1.907746346512571e7,1.916100735043311e8,3188.2315172413746,2631.295851724185,2473.233000000007,2473.233000000007,3346.29436896556,2146.294368965565,0.0,2631.295851724185,4.390924162655937e7,3.397665020835848e8,1.287206465999974e6,396179.9999996236,2.0275799000065392e6,2.857268873399991e7,1.9261847099995844e7,3.852483130000399e7
13,383.7669999998434,2473.2330000000884,2478.167,2478.167,378.83299999993187,0.0,-0.0,2478.1669999999513,1.063826999999687e6,2.6952243932995778e7,0.0,2152.878424137887,2478.1669999999463,2152.878424137887,0.0,0.0,325.28857586206726,2152.878424137887,1.4232351059692526e7,1.2597956947318628e8,0.0,2272.482781034469,2478.1669999999463,2272.482781034469,0.0,0.0,205.6842189655086,2272.482781034469,8.999301632397909e6,7.346825639393096e7,714.9985172414456,2392.0871379310274,2478.1669999999463,2478.1669999999463,628.9186551724927,0.0,0.0,2392.0871379310274,1.874764455517475e6,7.073487161758947e7,2030.6464431034883,2511.6914948276153,2478.1669999999463,2478.1669999999463,2064.1709379311505,864.1709379311303,0.0,2511.6914948276153,1.9721345321344644e7,2.1133141882567576e8,3346.29436896556,2631.295851724185,2478.1669999999463,2478.1669999999463,3499.423220689768,2299.4232206897123,0.0,2631.295851724185,4.6825725868171155e7,3.8659222795175594e8,1.316927841999849e6,412919.99999992846,2.0450699999997057e6,2.9889616575999755e7,2.0476283749995504e7,3.979330485000088e7
14,378.83299999993187,2478.1669999999513,2474.869,2474.869,382.130999999883,0.0,-0.0,2474.8690000000474,1.0615447799997404e6,2.8013788712995518e7,0.0,2152.878424137887,2474.86899999996,2152.878424137887,0.0,0.0,321.99057586206004,2152.878424137887,1.408805366569314e7,1.4006762313887942e8,0.0,2272.482781034469,2474.86899999996,2272.482781034469,0.0,0.0,202.38621896551214,2272.482781034469,8.855004238397827e6,8.232326063232878e7,628.9186551724927,2392.0871379310274,2474.86899999996,2474.86899999996,546.1367931035339,0.0,0.0,2392.0871379310274,1.6392023503450616e6,7.237407396793453e7,2064.1709379311505,2511.6914948276153,2474.86899999996,2474.86899999996,2100.9934327586643,900.9934327587184,0.0,2511.6914948276153,2.0416408835563656e7,2.3174782766123942e8,3499.423220689768,2631.295851724185,2474.86899999996,2474.86899999996,3655.8500724138103,2455.8500724138726,0.0,2631.295851724185,4.979339176778164e7,4.3638561971953756e8,1.2794906670000136e6,443609.9999998504,1.997639999999737e6,3.1169107242999773e7,2.1635198699995473e7,4.1210466149998836e7
15,382.130999999883,2474.8690000000474,2472.79,2472.79,384.20999999993046,0.0,0.0,2472.789999999964,1.0690456949997395e6,2.9082834407995258e7,0.0,2152.878424137887,2472.790000000027,2152.878424137887,0.0,0.0,319.9115758620665,2152.878424137887,1.3997091178693188e7,1.540647143175726e8,0.0,2272.482781034469,2472.790000000027,2272.482781034469,0.0,0.0,200.3072189655136,2272.482781034469,8.764041751398075e6,9.108730238372685e7,546.1367931035339,2392.0871379310274,2472.790000000027,2472.790000000027,465.4339310345783,0.0,0.0,2392.0871379310274,1.4111411601726785e6,7.378521512810722e7,2100.9934327586643,2511.6914948276153,2472.790000000027,2472.790000000027,2139.894927586255,939.8949275863063,0.0,2511.6914948276153,2.1152675933782954e7,2.5290050359502238e8,3655.8500724138103,2631.295851724185,2472.790000000027,2472.790000000027,3814.355924137971,2614.355924138019,0.0,2631.295851724185,5.280226125139088e7,4.8918788097092843e8,1.297266827999947e6,460349.99999974965,2.0129849999997208e6,3.2466374070999715e7,2.2979475999995165e7,4.307670869999966e7
16,384.20999999993046,2472.789999999964,2474.305,2474.305,382.69499999989466,0.0,0.0,2474.305000000035,1.0698324749997556e6,3.0152666882995013e7,0.0,2152.878424137887,2474.3050000000076,2152.878424137887,0.0,0.0,321.426575862064,2152.878424137887,1.406337697369252e7,1.681280912912651e8,0.0,2272.482781034469,2474.3050000000076,2272.482781034469,0.0,0.0,201.8222189655081,2272.482781034469,8.830327546398114e6,9.991762993012497e7,465.4339310345783,2392.0871379310274,2474.3050000000076,2474.3050000000076,383.2160689656147,0.0,0.0,2392.0871379310274,1.18386675000024e6,7.496908187810746e7,2139.894927586255,2511.6914948276153,2474.3050000000076,2474.3050000000076,2177.281422413886,977.281422413886,0.0,2511.6914948276153,2.186517014700196e7,2.7476567374202436e8,3814.355924137971,2631.295851724185,2474.3050000000076,2474.3050000000076,3971.346775862267,2771.3467758622146,0.0,2631.295851724185,5.578735785000079e7,5.449752388209293e8,1.299353256000024e6,491039.9999998765,2.029114400004211e6,3.376572732699973e7,2.419254684999475e7,4.459261635001045e7
17,382.69499999989466,2474.305000000035,2473.58,2473.58,383.4199999999296,0.0,-0.0,2473.5800000000154,1.0687304249997549e6,3.1221397307994768e7,0.0,2152.878424137887,2473.580000000035,2152.878424137887,0.0,0.0,320.7015758620677,2152.878424137887,1.4031656048692731e7,1.8215974733995783e8,0.0,2272.482781034469,2473.580000000035,2272.482781034469,0.0,0.0,201.09721896550923,2272.482781034469,8.798606621397998e6,1.0871623655152297e8,383.2160689656147,2392.0871379310274,2473.580000000035,2473.580000000035,301.72320689665077,0.0,0.0,2392.0871379310274,955490.2898278489,7.59245721679353e7,2177.281422413886,2511.6914948276153,2473.580000000035,2473.580000000035,2215.3929172414487,1015.3929172414638,0.0,2511.6914948276153,2.2588315285221078e7,2.973539890272454e8,3971.346775862267,2631.295851724185,2473.580000000035,2473.580000000035,4129.062627586419,2929.062627586372,0.0,2631.295851724185,5.878310537361187e7,6.037583441945411e8,1.3372432249999512e6,474927.749999761,2.2230288499999135e6,3.510297055199967e7,2.529592829999765e7,4.5863953549995035e7
18,383.4199999999296,2473.5800000000154,2481.313,2481.313,375.6869999999449,0.0,0.0,2481.3129999999996,1.0589542649998255e6,3.2280351572994594e7,0.0,2152.878424137887,2481.313000000042,2152.878424137887,0.0,0.0,328.43457586207086,2152.878424137887,1.4369997997692645e7,1.9652974533765048e8,0.0,2272.482781034469,2481.313000000042,2272.482781034469,0.0,0.0,208.83021896550838,2272.482781034469,9.136948570398152e6,1.1785318512192112e8,301.72320689665077,2392.0871379310274,2481.313000000042,2481.313000000042,212.49734482768875,0.0,0.0,2392.0871379310274,717337.6696554507,7.664190983759075e7,2215.3929172414487,2511.6914948276153,2481.313000000042,2481.313000000042,2245.77141206903,1045.7714120690885,0.0,2511.6914948276153,2.3176324600439917e7,3.205303136276853e8,4129.062627586419,2631.295851724185,2481.313000000042,2481.313000000042,4279.045479310564,3079.04547931052,0.0,2631.295851724185,6.1643717074224286e7,6.654020612687653e8,1.2696625139999464e6,443609.9999999023,1.9788246500025394e6,3.6372633065999635e7,2.6572803349999562e7,4.750295765001193e7
19,375.6869999999449,2481.3129999999996,2480.66,2480.66,376.33999999994467,0.0,-0.0,2480.660000000016,1.0490776649998464e6,3.332942923799444e7,0.0,2152.878424137887,2480.659999999992,2152.878424137887,0.0,0.0,327.7815758620636,2152.878424137887,1.434142728869261e7,2.108711726263431e8,0.0,2272.482781034469,2480.659999999992,2272.482781034469,0.0,0.0,208.1772189655145,2272.482781034469,9.108377861397967e6,1.2696156298331909e8,212.49734482768875,2392.0871379310274,2480.659999999992,2480.659999999992,123.92448275873525,0.0,0.0,2392.0871379310274,469308.44948305323,7.71112182870738e7,2245.77141206903,2511.6914948276153,2480.659999999992,2480.659999999992,2276.8029068966653,1076.8029068966805,0.0,2511.6914948276153,2.3765043098659426e7,3.4429535672634476e8,4279.045479310564,2631.295851724185,2480.659999999992,2480.659999999992,4429.681331034665,3229.6813310346342,0.0,2631.295851724185,6.4505037957832724e7,7.29907099226598e8,1.3380100529999852e6,412850.2499998114,2.139999749999817e6,3.771064311899962e7,2.760957684999443e7,4.894197230000036e7
20,376.33999999994467,2480.660000000016,2471.975,2471.975,385.024999999961,0.0,-0.0,2471.974999999946,1.0621041749998685e6,3.439153341299431e7,0.0,2152.878424137887,2471.9750000000467,2152.878424137887,0.0,0.0,319.09657586206504,2152.878424137887,1.3961432483692644e7,2.2483260511003575e8,0.0,2272.482781034469,2471.9750000000467,2272.482781034469,0.0,0.0,199.4922189655118,2272.482781034469,8.72838305639817e6,1.3568994603971726e8,123.92448275873525,2392.0871379310274,2471.9750000000467,2471.9750000000467,44.036620689774104,0.0,0.0,2392.0871379310274,234305.73931066046,7.734552402638446e7,2276.8029068966653,2511.6914948276153,2471.9750000000467,2471.9750000000467,2316.51940172425,1116.5194017242397,0.0,2511.6914948276153,2.45075806418787e7,3.688029373682235e8,4429.681331034665,2631.295851724185,2471.9750000000467,2471.9750000000467,4589.002182758759,3389.0021827587707,0.0,2631.295851724185,6.752017788644408e7,7.974272771130421e8,1.2986550779999522e6,412919.99999987474,2.0450699999998682e6,3.900929819699958e7,2.884959139999782e7,5.011955160000324e7
21,385.024999999961,2471.974999999946,2478.524,2478.524,378.4759999999069,0.0,-0.0,2478.5240000000626,1.0650838949998152e6,3.545661730799413e7,0.0,2152.878424137887,2478.5240000000144,2152.878424137887,0.0,0.0,325.6455758620648,2152.878424137887,1.4247970880692994e7,2.3908057599072874e8,0.0,2272.482781034469,2478.5240000000144,2272.482781034469,0.0,0.0,206.04121896551575,2272.482781034469,9.014921453397922e6,1.447048674931152e8,44.036620689774104,2392.0871379310274,2478.5240000000144,2436.1237586207826,0.0,0.0,42.40024137918673,2392.0871379310274,1.9165688469257387e6,7.92620928733102e7,2316.51940172425,2511.6914948276153,2478.5240000000144,2478.5240000000144,2349.686896551865,1149.6868965518645,0.0,2511.6914948276153,2.5146932066097263e7,3.9394986943432075e8,4589.002182758759,2631.295851724185,2478.5240000000144,2478.5240000000144,4741.774034482946,3541.774034482893,0.0,2631.295851724185,7.04321316960532e7,8.678594088090953e8,1.278043093000009e6,412152.74999984197,2.0143799999998459e6,4.02873412899996e7,2.968961249999412e7,5.1594583200011656e7
