politica,n,custo_medio,custo_ic,custo_p5,custo_p50,custo_p95,spill_prob,spill_cond_med,fila_pico_med,service_level,entram_dia,proc_dia,ocio_dia,spill_dia
SDDP,1000,5.21237622599997e7,453609.6114966149,4.0806183899995446e7,5.153390400000699e7,6.451320644999593e7,0.994,522.2374245472837,1718.871,1.0,2449.361533333333,2474.269899999996,5.100566666671224,17.30346666666667
P_-10,1000,3.734367716754576e8,3.2310635132274237e6,2.9327141144526416e8,3.7082884691000557e8,4.655177869990487e8,0.995,910.5983836769981,1724.9445355172409,1.0,2180.2815099999784,2220.0668188288446,259.30364783781926,30.201513058620435
P_-5,1000,2.416001168700194e8,3.112759396695077e6,1.6397651172813407e8,2.3928434640228754e8,3.30371021993815e8,0.996,1419.2054075300905,1749.01055729655,1.0,2295.8527050000293,2334.6598759945387,144.71059067212988,47.117619529999
P_0,1000,1.872989650930682e8,7.047098116488566e6,8.514056397470264e7,1.5607761948962268e8,4.084986096627315e8,0.997,4430.285663784217,1889.0733662413688,1.0,2411.423899999987,2441.5618259735593,37.80864069310615,147.23316022642882
P_+5,1000,6.755572818853843e8,2.3401976742429864e7,1.2329442717069201e8,6.554266647844417e8,1.3411828002669644e9,1.0,30558.850292132927,3117.5874108654334,0.9871163849403762,2526.995094999991,2478.430924444425,0.9395422222415438,1018.6283430710976
P_+10,1000,1.625611922468068e9,2.6639940038408447e7,9.207679233314949e8,1.6378979420939717e9,2.3245318700439715e9,1.0,80631.90921285353,6175.294638261966,0.9426169835149777,2642.566290000039,2479.3704666666667,0.0,2687.7303070951175
