politica,n,custo_medio,custo_ic,custo_p5,custo_p50,custo_p95,spill_prob,spill_cond_med,fila_pico_med,service_level,entram_dia,proc_dia,ocio_dia,spill_dia
SDDP,1000,2.0548776412501317e8,2.643044499768661e6,1.3983955534996513e8,2.0293958050000793e8,2.8031957225009066e8,1.0,4119.369999992668,2368.498999999579,1.0,2043.0379333331794,2055.11089999985,51.87533333348311,137.31233333308896
P_-10,1000,5.1006697459040874e8,1.0145954101605328e7,3.035369679368188e8,4.868449860520612e8,7.838394140697901e8,0.972,7113.722615723954,2622.8910979963684,1.0,1825.1595099999745,1850.089318281086,256.89691505224636,230.48461274945615
P_-5,1000,5.1032403819275904e8,1.6191118144978037e7,2.681580068573092e8,4.5121885720463645e8,9.502191437200502e8,0.987,12323.300570890258,2973.6643638238006,1.0,1921.0017049998767,1934.6812501645952,172.3049831687379,405.43658878228956
P_0,1000,6.280502876351603e8,2.757478861810521e7,2.4146295858219582e8,4.8281667065588456e8,1.548262304139363e9,0.998,22707.563551678297,3588.3108757924915,1.0,2016.843899999876,2007.2048533137436,99.78138001958965,755.4049474858314
P_+5,1000,9.328508286714765e8,4.283659261251123e7,2.4994175942182726e8,6.909499061645106e8,2.350741797316334e9,1.0,41645.69657047356,4583.341470983459,0.9884416249811306,2112.6860949998745,2058.8791476519787,48.10708568135437,1388.189885682452
P_+10,1000,1.4414450066206157e9,5.6969027691318765e7,3.090722825265451e8,1.277026858466369e9,3.1662246976933017e9,1.0,70028.6008118067,6110.755824960533,0.9571257445231757,2208.5282899998724,2087.583142747685,19.40309058564869,2334.28669372689
