dia,SDDP_fila_in,SDDP_adm_in,SDDP_w_proc,SDDP_proc,SDDP_fila_out,SDDP_spill,SDDP_ocioso,SDDP_adm_out,SDDP_custo,SDDP_custo_acum,P_-10_fila_in,P_-10_adm_in,P_-10_w_proc,P_-10_proc,P_-10_fila_out,P_-10_spill,P_-10_ocioso,P_-10_adm_out,P_-10_custo,P_-10_custo_acum,P_-5_fila_in,P_-5_adm_in,P_-5_w_proc,P_-5_proc,P_-5_fila_out,P_-5_spill,P_-5_ocioso,P_-5_adm_out,P_-5_custo,P_-5_custo_acum,P_0_fila_in,P_0_adm_in,P_0_w_proc,P_0_proc,P_0_fila_out,P_0_spill,P_0_ocioso,P_0_adm_out,P_0_custo,P_0_custo_acum,P_+5_fila_in,P_+5_adm_in,P_+5_w_proc,P_+5_proc,P_+5_fila_out,P_+5_spill,P_+5_ocioso,P_+5_adm_out,P_+5_custo,P_+5_custo_acum,P_+10_fila_in,P_+10_adm_in,P_+10_w_proc,P_+10_proc,P_+10_fila_out,P_+10_spill,P_+10_ocioso,P_+10_adm_out,P_+10_custo,P_+10_custo_acum,SDDP_estoc_custo_mean,SDDP_estoc_custo_p5,SDDP_estoc_custo_p95,SDDP_estoc_custo_acum_mean,SDDP_estoc_custo_acum_p5,SDDP_estoc_custo_acum_p95
11,738.9659999987616,2105.0340000002166,2081.97,2081.97,762.0299999989784,0.0,0.0,2081.9700000001117,2.0938894199968427e6,4.105556799695425e7,0.0,1780.2953379309688,2081.9699999999757,1780.2953379309688,0.0,0.0,301.67466206904305,1780.2953379309688,1.3199171489506386e7,1.012803295310383e8,43.66771034412314,1879.2006344827184,2081.9699999999757,1922.868344826841,0.0,0.0,159.1016551731999,1879.2006344827184,7.022091174722891e6,7.511317947608083e7,933.8153793095909,1978.1059310343696,2081.9699999999757,2081.9699999999757,829.9513103440122,0.0,0.0,1978.1059310343696,2.4604545320668113e6,1.0657045668026173e8,1823.9630482750936,2077.011227586088,2081.9699999999757,2081.9699999999757,1819.0042758611974,619.0042758611992,0.0,2077.011227586088,1.5116617733156202e7,1.9598073632718772e8,2714.1107172405773,2175.9165241378364,2081.9699999999757,2081.9699999999757,2808.057241378363,1608.057241378371,0.0,2175.9165241378364,3.3771640242259204e7,2.979624821281492e8,6.340955127999148e6,641699.9999968857,2.1686530149984345e7,8.511279622700411e7,4.754536580002886e7,1.3115357520014822e8
12,762.0299999989784,2081.9700000001117,2092.561,2092.561,751.4389999990899,0.0,0.0,2092.5610000000997,2.111289254997298e6,4.3166857251951545e7,0.0,1780.2953379309688,2092.560999999988,1780.2953379309688,0.0,0.0,312.26566206904334,1780.2953379309688,1.3662559512506522e7,1.1494288904354481e8,0.0,1879.2006344827184,2092.560999999988,1879.2006344827184,0.0,0.0,213.36036551732093,1879.2006344827184,9.335156072479252e6,8.444833554856008e7,829.9513103440122,1978.1059310343696,2092.560999999988,2092.560999999988,715.4962413783992,0.0,0.0,1978.1059310343696,2.1558993346527196e6,1.0872635601491445e8,1819.0042758611974,2077.011227586088,2092.560999999988,2092.560999999988,1803.454503447299,603.4545034473305,0.0,2077.011227586088,1.4835930952520259e7,2.1081666727970797e8,2808.057241378363,2175.9165241378364,2092.560999999988,2092.560999999988,2891.412765516274,1691.4127655162158,0.0,2175.9165241378364,3.537025300140102e7,3.333327351295502e8,6.494149542000379e6,755475.5500007578,2.087708505004111e7,9.160694576900454e7,5.2347635150142744e7,1.3856408835005903e8
13,751.4389999990899,2092.5610000000997,2062.657,2062.657,781.3429999991895,0.0,0.0,2062.6569999999006,2.1382308899976015e6,4.530508814194915e7,0.0,1780.2953379309688,2062.656999999949,1780.2953379309688,0.0,0.0,282.3616620690431,1780.2953379309688,1.2354169800506603e7,1.2729705884405142e8,0.0,1879.2006344827184,2062.656999999949,1879.2006344827184,0.0,0.0,183.45636551731943,1879.2006344827184,8.02676636047935e6,9.247510190903944e7,715.4962413783992,1978.1059310343696,2062.656999999949,2062.656999999949,630.945172412796,0.0,0.0,1978.1059310343696,1.8782857722387316e6,1.1060464178715318e8,1803.454503447299,2077.011227586088,2062.656999999949,2062.656999999949,1817.8087310334636,617.8087310334572,0.0,2077.011227586088,1.5066959550884137e7,2.258836268305921e8,2891.412765516274,2175.9165241378364,2062.656999999949,2062.656999999949,3004.672289654116,1804.672289654096,0.0,2175.9165241378364,3.748058113954507e7,3.708133162690953e8,5.977563159998685e6,618194.2499987901,2.05949629999861e7,9.75845089290032e7,5.592860709999293e7,1.483616644501113e8
14,781.3429999991895,2062.6569999999006,2133.299,2133.299,710.7009999990901,0.0,-0.0,2133.2989999996557,2.0814013799975961e6,4.738648952194674e7,0.0,1780.2953379309688,2133.299000000058,1780.2953379309688,0.0,0.0,353.0036620690374,1780.2953379309688,1.5444969226506788e7,1.427420280705582e8,0.0,1879.2006344827184,2133.299000000058,1879.2006344827184,0.0,0.0,254.09836551732576,1879.2006344827184,1.1117565786479356e7,1.0359266769551879e8,630.945172412796,1978.1059310343696,2133.299000000058,2133.299000000058,475.7521034472118,0.0,0.0,1978.1059310343696,1.5438426998247313e6,1.1214848448697792e8,1817.8087310334636,2077.011227586088,2133.299000000058,2133.299000000058,1761.5209586195929,561.520958619555,0.0,2077.011227586088,1.4095981177247968e7,2.3997960800784007e8,3004.672289654116,2175.9165241378364,2133.299000000058,2133.299000000058,3047.289813791878,1847.289813791884,0.0,2175.9165241378364,3.838890230568761e7,4.092022185747829e8,6.572497267001037e6,662903.9999985747,2.440109375004102e7,1.0415700619600426e8,6.014152884996617e7,1.5693825129993597e8
15,710.7009999990901,2133.2989999996557,2074.289,2074.289,769.7109999987456,0.0,-0.0,2074.2890000004386,2.0651747399969846e6,4.945166426194373e7,0.0,1780.2953379309688,2074.2890000000484,1780.2953379309688,0.0,0.0,293.993662069034,1780.2953379309688,1.2863104696506537e7,1.5560513276706472e8,0.0,1879.2006344827184,2074.2890000000484,1879.2006344827184,0.0,0.0,195.088365517322,1879.2006344827184,8.535701256479267e6,1.1212836895199805e8,475.7521034472118,1978.1059310343696,2074.2890000000484,2074.2890000000484,379.5690344815996,0.0,0.0,1978.1059310343696,1.193172987410683e6,1.133416574743886e8,1761.5209586195929,2077.011227586088,2074.2890000000484,2074.2890000000484,1764.2431862056776,564.2431862056886,0.0,2077.011227586088,1.4065387273611533e7,2.540449952814516e8,3047.289813791878,2175.9165241378364,2074.2890000000484,2074.2890000000484,3148.9173379298004,1948.9173379297827,0.0,2175.9165241378364,4.0237607941831e7,4.494398265166139e8,5.757904432999156e6,594548.9999969967,2.008080410005005e7,1.0991491062900335e8,6.367852855002298e7,1.6431451960006338e8
16,769.7109999987456,2074.2890000004386,2148.221,2148.221,695.7789999991842,0.0,0.0,2148.221000000145,2.0443585499971062e6,5.1496022811940834e7,0.0,1780.2953379309688,2148.2209999999573,1780.2953379309688,0.0,0.0,367.92566206904166,1780.2953379309688,1.6097851492506439e7,1.7170298425957116e8,0.0,1879.2006344827184,2148.2209999999573,1879.2006344827184,0.0,0.0,269.0203655173224,1879.2006344827184,1.1770448052479314e7,1.2389881700447737e8,379.5690344815996,1978.1059310343696,2148.2209999999573,2148.2209999999573,209.4539655160043,0.0,0.0,1978.1059310343696,821687.0849966706,1.1416334455938527e8,1764.2431862056776,2077.011227586088,2148.2209999999573,2148.2209999999573,1693.0334137917973,493.03341379180006,0.0,2077.011227586088,1.2815465527975243e7,2.6686046080942684e8,3148.9173379298004,2175.9165241378364,2148.2209999999573,2148.2209999999573,3176.61286206764,1976.6128620675793,0.0,2175.9165241378364,4.086698573597417e7,4.903068122525881e8,6.580223356000821e6,687734.9999971383,2.1764666499986924e7,1.1649513398500419e8,6.815492239995995e7,1.709586863003145e8
17,695.7789999991842,2148.221000000145,2106.461,2106.461,737.5389999993295,0.0,-0.0,2106.461000000041,1.9994786099979281e6,5.349550142193876e7,0.0,1780.2953379309688,2106.460999999952,1780.2953379309688,0.0,0.0,326.1656620690438,1780.2953379309688,1.4270726212506808e7,1.8597371047207797e8,0.0,1879.2006344827184,2106.460999999952,1879.2006344827184,0.0,0.0,227.2603655173168,1879.2006344827184,9.943322772479238e6,1.338421397769566e8,209.4539655160043,1978.1059310343696,2106.460999999952,2106.460999999952,81.09889655040713,0.0,0.0,1978.1059310343696,405321.24258263776,1.145686658019679e8,1693.0334137917973,2077.011227586088,2106.460999999952,2106.460999999952,1663.5836413779589,463.58364137792205,0.0,2077.011227586088,1.21976352023393e7,2.7905809601176614e8,3176.61286206764,2175.9165241378364,2106.460999999952,2106.460999999952,3246.06838620547,2046.0683862054684,0.0,2175.9165241378364,4.212845495011828e7,5.324352672027064e8,6.064970198000394e6,619379.999999088,1.9426332000025816e7,1.2256010418300453e8,7.364756334990445e7,1.8096839980015284e8
18,737.5389999993295,2106.461000000041,2064.052,2064.052,779.9479999993705,0.0,-0.0,2064.0520000001943,2.1168943649981916e6,5.561239578693695e7,0.0,1780.2953379309688,2064.051999999964,1780.2953379309688,0.0,0.0,283.7566620690379,1780.2953379309688,1.2415205235506587e7,1.9838891570758456e8,0.0,1879.2006344827184,2064.051999999964,1879.2006344827184,0.0,0.0,184.85136551732177,1879.2006344827184,8.087801795479074e6,1.4192994157243568e8,81.09889655040713,1978.1059310343696,2064.051999999964,2059.204827584793,0.0,0.0,4.847172415194109,1978.1059310343696,325211.29536980385,1.1489387709733771e8,1663.5836413779589,2077.011227586088,2064.051999999964,2064.051999999964,1676.542868964073,476.5428689640407,0.0,2077.011227586088,1.2384712930703487e7,2.914428089424696e8,3246.06838620547,2175.9165241378364,2064.051999999964,2064.051999999964,3357.9329103432756,2157.9329103433365,0.0,2175.9165241378364,4.419483221826112e7,5.766300994209676e8,6.254274362999507e6,733769.9999982535,2.0320527000026617e7,1.2881437854600403e8,7.764967689991416e7,1.9117377490009508e8
19,779.9479999993705,2064.0520000001943,2075.884,2075.884,768.1159999995648,0.0,-0.0,2075.8839999999423,2.159549279998511e6,5.7771945066935465e7,0.0,1780.2953379309688,2075.8840000000314,1780.2953379309688,0.0,0.0,295.5886620690375,1780.2953379309688,1.2932890731506478e7,2.1132180643909103e8,0.0,1879.2006344827184,2075.8840000000314,1879.2006344827184,0.0,0.0,196.683365517323,1879.2006344827184,8.605487291479168e6,1.5053542886391485e8,0.0,1978.1059310343696,2075.8840000000314,1978.1059310343696,0.0,0.0,97.77806896560165,1978.1059310343696,4.278083851451875e6,1.1917196094878958e8,1676.542868964073,2077.011227586088,2075.8840000000314,2075.8840000000314,1677.6700965501507,477.67009655018006,0.0,2077.011227586088,1.2422637022067375e7,3.0386544596453696e8,3357.9329103432756,2175.9165241378364,2075.8840000000314,2075.8840000000314,3457.9654344810588,2257.96543448113,0.0,2175.9165241378364,4.6112055849403396e7,6.22742155270371e8,6.44637721699954e6,802124.9999994009,2.1765490800017953e7,1.3526075576300362e8,8.145832414988744e7,1.9727308900018302e8
20,768.1159999995648,2075.8839999999423,2100.938,2100.938,743.061999999507,0.0,0.0,2100.9379999999237,2.108093309998706e6,5.988003837693417e7,0.0,1780.2953379309688,2100.938000000035,1780.2953379309688,0.0,0.0,320.6426620690395,1780.2953379309688,1.4029078393506888e7,2.253508848325979e8,0.0,1879.2006344827184,2100.938000000035,1879.2006344827184,0.0,0.0,221.73736551732216,1879.2006344827184,9.701674953479555e6,1.6023710381739438e8,0.0,1978.1059310343696,2100.938000000035,1978.1059310343696,0.0,0.0,122.83206896559861,1978.1059310343696,5.374271513451881e6,1.2454623246224146e8,1677.6700965501507,2077.011227586088,2100.938000000035,2100.938000000035,1653.743324136305,453.74332413629986,0.0,2077.011227586088,1.2002954749431089e7,3.1586840071396804e8,3457.9654344810588,2175.9165241378364,2100.938000000035,2100.938000000035,3532.943958619014,2332.943958618948,0.0,2175.9165241378364,4.757167311654664e7,6.703138283869176e8,6.2392099720002385e6,664019.9999993325,2.152033084998973e7,1.4149996573500386e8,8.531335719998555e7,2.0354665215013134e8
21,743.061999999507,2100.9379999999237,2096.995,2096.995,747.0049999994308,0.0,-0.0,2096.9950000001354,2.078643464998521e6,6.195868184193269e7,0.0,1780.2953379309688,2096.995000000054,1780.2953379309688,0.0,0.0,316.69966206903484,1780.2953379309688,1.385656031450656e7,2.3920744514710447e8,0.0,1879.2006344827184,2096.995000000054,1879.2006344827184,0.0,0.0,217.7943655173224,1879.2006344827184,9.529156874479292e6,1.6976626069187367e8,0.0,1978.1059310343696,2096.995000000054,1978.1059310343696,0.0,0.0,118.88906896559737,1978.1059310343696,5.201753434451965e6,1.2974798589669342e8,1653.743324136305,2077.011227586088,2096.995000000054,2096.995000000054,1633.7595517223936,433.7595517224226,0.0,2077.011227586088,1.1617742604794923e7,3.2748614331876296e8,3532.943958619014,2175.9165241378364,2096.995000000054,2096.995000000054,3611.8654827568425,2411.86548275683,0.0,2175.9165241378364,4.9065760511688866e7,7.193795888986064e8,5.970738353999579e6,641699.999998492,2.02306371999906e7,1.474707040890034e8,9.177382824983345e7,2.125492611000894e8
22,747.0049999994308,2096.9950000001354,2110.953,2110.953,733.0469999995662,0.0,-0.0,2110.953000000085,2.0646725399985984e6,6.402335438193129e7,0.0,1780.2953379309688,2110.952999999984,1780.2953379309688,0.0,0.0,330.65766206903913,1780.2953379309688,1.4467264688506944e7,2.536747098356114e8,0.0,1879.2006344827184,2110.952999999984,1879.2006344827184,0.0,0.0,231.75236551731555,1879.2006344827184,1.0139861248479227e7,1.799061219403529e8,0.0,1978.1059310343696,2110.952999999984,1978.1059310343696,0.0,0.0,132.84706896559803,1978.1059310343696,5.81245780845174e6,1.3556044370514515e8,1633.7595517223936,2077.011227586088,2110.952999999984,2110.952999999984,1599.8177793085742,399.8177793085342,0.0,2077.011227586088,1.0992286397158876e7,3.384784297159218e8,3611.8654827568425,2175.9165241378364,2110.952999999984,2110.952999999984,3676.8290068945976,2476.8290068946494,0.0,2175.9165241378364,5.031960384383343e7,7.696991927424399e8,6.365411895000036e6,710054.9999993953,2.0870181000019476e7,1.5383611598400342e8,9.700156869984907e7,2.204067251500246e8
23,733.0469999995662,2110.953000000085,2113.275,2113.275,730.7249999996511,0.0,0.0,2113.2749999999937,2.0419619399989098e6,6.60653163219302e7,0.0,1780.2953379309688,2113.2749999999614,1780.2953379309688,0.0,0.0,332.97966206904266,1780.2953379309688,1.4568859154506685e7,2.682435689901181e8,0.0,1879.2006344827184,2113.2749999999614,1879.2006344827184,0.0,0.0,234.07436551732206,1879.2006344827184,1.0241455714479405e7,1.901475776548323e8,0.0,1978.1059310343696,2113.2749999999614,1978.1059310343696,0.0,0.0,135.16906896559792,1978.1059310343696,5.914052274451932e6,1.414744959795971e8,1599.8177793085742,2077.011227586088,2113.2749999999614,2113.2749999999614,1563.5540068946443,363.5540068946479,0.0,2077.011227586088,1.0306477647522718e7,3.4878490736344457e8,3676.8290068945976,2175.9165241378364,2113.2749999999614,2113.2749999999614,3739.4705310324457,2539.4705310324575,0.0,2175.9165241378364,5.151309463397726e7,8.212122873764172e8,6.3021233770001e6,687734.9999989253,2.1398762650014043e7,1.6013823936100352e8,1.0359419394995399e8,2.286083720500858e8
