dia,SDDP_FilaIni,SDDP_AdmIn,SDDP_Wproc,SDDP_Proc,SDDP_FilaFim,SDDP_Spill,SDDP_Ocioso,SDDP_AdmOut,P_-10_FilaIni,P_-10_AdmIn,P_-10_Wproc,P_-10_Proc,P_-10_FilaFim,P_-10_Spill,P_-10_Ocioso,P_-10_AdmOut,P_-5_FilaIni,P_-5_AdmIn,P_-5_Wproc,P_-5_Proc,P_-5_FilaFim,P_-5_Spill,P_-5_Ocioso,P_-5_AdmOut,P_0_FilaIni,P_0_AdmIn,P_0_Wproc,P_0_Proc,P_0_FilaFim,P_0_Spill,P_0_Ocioso,P_0_AdmOut,P_+5_FilaIni,P_+5_AdmIn,P_+5_Wproc,P_+5_Proc,P_+5_FilaFim,P_+5_Spill,P_+5_Ocioso,P_+5_AdmOut,P_+10_FilaIni,P_+10_AdmIn,P_+10_Wproc,P_+10_Proc,P_+10_FilaFim,P_+10_Spill,P_+10_Ocioso,P_+10_AdmOut
11,636.9999999998372,2220.0000000000564,2459.0,2459.0,397.9999999998936,0.0,-0.0,2458.999999999941,0.0,2152.8784241379367,2489.045,2152.8784241379367,0.0,0.0,336.1665758620634,2152.8784241379367,0.0,2272.4827810344887,2489.045,2272.4827810344887,0.0,0.0,216.56221896551142,2272.4827810344887,893.1022413793671,2392.0871379310406,2489.045,2489.045,796.1443793104077,0.0,0.0,2392.0871379310406,1969.5414534483334,2511.6914948275926,2489.045,2489.045,1992.187948275926,792.1879482759259,0.0,2511.6914948275926,3045.980665517305,2631.295851724145,2489.045,2489.045,3188.23151724145,1988.23151724145,0.0,2631.295851724145
12,397.9999999998936,2458.999999999941,2448.0,2448.0,408.9999999998345,0.0,0.0,2448.000000000104,0.0,2152.8784241379367,2473.233,2152.8784241379367,0.0,0.0,320.3545758620635,2152.8784241379367,0.0,2272.4827810344887,2473.233,2272.4827810344887,0.0,0.0,200.75021896551152,2272.4827810344887,796.1443793104077,2392.0871379310406,2473.233,2473.233,714.9985172414481,0.0,0.0,2392.0871379310406,1992.187948275926,2511.6914948275926,2473.233,2473.233,2030.6464431035183,830.6464431035183,0.0,2511.6914948275926,3188.23151724145,2631.295851724145,2473.233,2473.233,3346.294368965595,2146.294368965595,0.0,2631.295851724145
13,408.9999999998345,2448.000000000104,2289.0,2289.0,567.9999999999386,0.0,0.0,2288.999999999957,0.0,2152.8784241379367,2478.167,2152.8784241379367,0.0,0.0,325.2885758620632,2152.8784241379367,0.0,2272.4827810344887,2478.167,2272.4827810344887,0.0,0.0,205.68421896551126,2272.4827810344887,714.9985172414481,2392.0871379310406,2478.167,2478.167,628.9186551724888,0.0,0.0,2392.0871379310406,2030.6464431035183,2511.6914948275926,2478.167,2478.167,2064.170937931111,864.170937931111,0.0,2511.6914948275926,3346.294368965595,2631.295851724145,2478.167,2478.167,3499.42322068974,2299.42322068974,0.0,2631.295851724145
14,567.9999999999386,2288.999999999957,2118.0,2118.0,738.9999999998954,0.0,0.0,2118.0000000000196,0.0,2152.8784241379367,2474.869,2152.8784241379367,0.0,0.0,321.99057586206345,2152.8784241379367,0.0,2272.4827810344887,2474.869,2272.4827810344887,0.0,0.0,202.3862189655115,2272.4827810344887,628.9186551724888,2392.0871379310406,2474.869,2474.869,546.1367931035293,0.0,0.0,2392.0871379310406,2064.170937931111,2511.6914948275926,2474.869,2474.869,2100.993432758704,900.9934327587039,0.0,2511.6914948275926,3499.42322068974,2631.295851724145,2474.869,2474.869,3655.8500724138853,2455.8500724138853,0.0,2631.295851724145
15,738.9999999998954,2118.0000000000196,2141.0,2141.0,715.999999999915,0.0,0.0,2140.9999999999745,0.0,2152.8784241379367,2472.79,2152.8784241379367,0.0,0.0,319.9115758620633,2152.8784241379367,0.0,2272.4827810344887,2472.79,2272.4827810344887,0.0,0.0,200.3072189655113,2272.4827810344887,546.1367931035293,2392.0871379310406,2472.79,2472.79,465.4339310345699,0.0,0.0,2392.0871379310406,2100.993432758704,2511.6914948275926,2472.79,2472.79,2139.894927586297,939.894927586297,0.0,2511.6914948275926,3655.8500724138853,2631.295851724145,2472.79,2472.79,3814.355924138031,2614.355924138031,0.0,2631.295851724145
16,715.999999999915,2140.9999999999745,2311.0,2311.0,545.9999999998895,0.0,-0.0,2311.0000000000537,0.0,2152.8784241379367,2474.305,2152.8784241379367,0.0,0.0,321.42657586206315,2152.8784241379367,0.0,2272.4827810344887,2474.305,2272.4827810344887,0.0,0.0,201.82221896551118,2272.4827810344887,465.4339310345699,2392.0871379310406,2474.305,2474.305,383.2160689656107,0.0,0.0,2392.0871379310406,2139.894927586297,2511.6914948275926,2474.305,2474.305,2177.2814224138897,977.2814224138897,0.0,2511.6914948275926,3814.355924138031,2631.295851724145,2474.305,2474.305,3971.346775862176,2771.346775862176,0.0,2631.295851724145
17,545.9999999998895,2311.0000000000537,2721.0,2721.0,135.99999999994316,0.0,0.0,2720.9999999999936,0.0,2152.8784241379367,2473.58,2152.8784241379367,0.0,0.0,320.70157586206324,2152.8784241379367,0.0,2272.4827810344887,2473.58,2272.4827810344887,0.0,0.0,201.09721896551127,2272.4827810344887,383.2160689656107,2392.0871379310406,2473.58,2473.58,301.7232068966514,0.0,0.0,2392.0871379310406,2177.2814224138897,2511.6914948275926,2473.58,2473.58,2215.392917241483,1015.3929172414828,0.0,2511.6914948275926,3971.346775862176,2631.295851724145,2473.58,2473.58,4129.0626275863215,2929.0626275863215,0.0,2631.295851724145
18,135.99999999994316,2720.9999999999936,2641.0,2641.0,215.9999999999368,0.0,-0.0,2641.000000000007,0.0,2152.8784241379367,2481.313,2152.8784241379367,0.0,0.0,328.4345758620634,2152.8784241379367,0.0,2272.4827810344887,2481.313,2272.4827810344887,0.0,0.0,208.83021896551145,2272.4827810344887,301.7232068966514,2392.0871379310406,2481.313,2481.313,212.4973448276919,0.0,0.0,2392.0871379310406,2215.392917241483,2511.6914948275926,2481.313,2481.313,2245.7714120690753,1045.7714120690753,0.0,2511.6914948275926,4129.0626275863215,2631.295851724145,2481.313,2481.313,4279.045479310466,3079.0454793104664,0.0,2631.295851724145
19,215.9999999999368,2641.000000000007,2095.0,2095.0,761.9999999999436,0.0,-0.0,2095.000000000021,0.0,2152.8784241379367,2480.66,2152.8784241379367,0.0,0.0,327.78157586206316,2152.8784241379367,0.0,2272.4827810344887,2480.66,2272.4827810344887,0.0,0.0,208.1772189655112,2272.4827810344887,212.4973448276919,2392.0871379310406,2480.66,2480.66,123.92448275873267,0.0,0.0,2392.0871379310406,2245.7714120690753,2511.6914948275926,2480.66,2480.66,2276.802906896668,1076.802906896668,0.0,2511.6914948275926,4279.045479310466,2631.295851724145,2480.66,2480.66,4429.6813310346115,3229.6813310346115,0.0,2631.295851724145
20,761.9999999999436,2095.000000000021,2880.0,2856.9999999999645,-0.0,0.0,23.00000000003547,2856.9999999999213,0.0,2152.8784241379367,2471.975,2152.8784241379367,0.0,0.0,319.0965758620632,2152.8784241379367,0.0,2272.4827810344887,2471.975,2272.4827810344887,0.0,0.0,199.49221896551126,2272.4827810344887,123.92448275873267,2392.0871379310406,2471.975,2471.975,44.03662068977337,0.0,0.0,2392.0871379310406,2276.802906896668,2511.6914948275926,2471.975,2471.975,2316.5194017242607,1116.5194017242607,0.0,2511.6914948275926,4429.6813310346115,2631.295851724145,2471.975,2471.975,4589.002182758757,3389.0021827587566,0.0,2631.295851724145
